href	resolved_url	label	is_html	is_external
documents/Leningrad_Affair/Khrushchev_Speech_Leningrad.doc	http://perpetrator2004.narod.ru/documents/Leningrad_Affair/Khrushchev_Speech_Leningrad.doc	Из неправленой стенограммы выступления Н.С. Хрущева	no	no
documents/Great_Terror/Pospelov_Commission_Report.doc	http://perpetrator2004.narod.ru/documents/Great_Terror/Pospelov_Commission_Report.doc	Доклад комиссии Поспелова	no	no
documents/Show_Trials/CPSU_Classified_Letter_on_Trotskyite_Zinovievite_Bloc.doc	http://perpetrator2004.narod.ru/documents/Show_Trials/CPSU_Classified_Letter_on_Trotskyite_Zinovievite_Bloc.doc	Закрытое письмо ЦК ВКП(б) о террористической деятельности троцкистско-зиновьевского контрреволюционного блока	no	no
documents/kirov/Kotolynov_Interrogation_Record_12_Dec.doc	http://perpetrator2004.narod.ru/documents/kirov/Kotolynov_Interrogation_Record_12_Dec.doc	Протокол допроса И.И. Котолынова от 12 декабря 1934 г.	no	no
documents/kirov/Nikolayev_Interrogation_Record_13_Dec.doc	http://perpetrator2004.narod.ru/documents/kirov/Nikolayev_Interrogation_Record_13_Dec.doc	Протокол допроса Л. Николаева от 13 декабря 1934 г.	no	no
documents/kirov/Draft_Circular_Letter.doc	http://perpetrator2004.narod.ru/documents/kirov/Draft_Circular_Letter.doc	Из циркулярного письма НКВД СССР всем местным органам наркомата внутренних дел СССР	no	no
documents/Tukhachevsky/Plan_for_Defeat.doc	http://perpetrator2004.narod.ru/documents/Tukhachevsky/Plan_for_Defeat.doc	План поражения СССР	no	no
documents/Great_Terror/Lead_Up_To_Terror.doc	http://perpetrator2004.narod.ru/documents/Great_Terror/Lead_Up_To_Terror.doc	Подготовка к Большому террору	no	no
documents/Great_Terror/Coded_Telegram_On_Physical_Influence.doc	http://perpetrator2004.narod.ru/documents/Great_Terror/Coded_Telegram_On_Physical_Influence.doc	Шифртелеграмма от 20.01.1939	no	no
documents/Great_Terror/Operative_Order_00439.doc	http://perpetrator2004.narod.ru/documents/Great_Terror/Operative_Order_00439.doc	Оперативный приказ Ежова 00439	no	no
documents/Great_Terror/Operative_Order_00447.doc	http://perpetrator2004.narod.ru/documents/Great_Terror/Operative_Order_00447.doc	Оперативный приказ Ежова 00447 о репрессировании бывших кулаков, уголовников и др. антисоветских элементов	no	no
documents/Great_Terror/Operative_Order_00485.doc	http://perpetrator2004.narod.ru/documents/Great_Terror/Operative_Order_00485.doc	Оперативный приказ Ежова 00485	no	no
documents/Great_Terror/Letter_On_POV.doc	http://perpetrator2004.narod.ru/documents/Great_Terror/Letter_On_POV.doc	Закрытого письма	no	no
documents/Great_Terror/Politburo_Resolution_5_7_37.doc	http://perpetrator2004.narod.ru/documents/Great_Terror/Politburo_Resolution_5_7_37.doc	Решение политбюро от 5.7.1937 г.	no	no
documents/Great_Terror/Operative_Order_00486.doc	http://perpetrator2004.narod.ru/documents/Great_Terror/Operative_Order_00486.doc	Оперативный приказ Ежова 00486 о репрессировании жен изменников родины, членов право-троцкистских шпионско-диверсионных организаций, осужденных военной коллегией и военными трибуналами по первой и второй категории, начиная с 1 августа 1936 г	no	no
documents/Great_Terror/Operative_Order_00593.doc	http://perpetrator2004.narod.ru/documents/Great_Terror/Operative_Order_00593.doc	Оперативный приказ Ежова 00593	no	no
documents/Great_Terror/Circular_Letter_106_20_May_1938.doc	http://perpetrator2004.narod.ru/documents/Great_Terror/Circular_Letter_106_20_May_1938.doc	Циркуляр Народного комиссара внутренних дел Союза ССР № 106	no	no
documents/Great_Terror/Beria_Order_00689.doc	http://perpetrator2004.narod.ru/documents/Great_Terror/Beria_Order_00689.doc	Приказ Берии 00689	no	no
documents/Great_Terror/Operative_Order_00486.doc	http://perpetrator2004.narod.ru/documents/Great_Terror/Operative_Order_00486.doc	приказа НКВД № 00486	no	no
documents/Show_Trials/Zinoviev_Kamenev_Trial.doc	http://perpetrator2004.narod.ru/documents/Show_Trials/Zinoviev_Kamenev_Trial.doc	Процесс по делу «антисоветского объединенного троцкистско-зиновьевского центра»	no	no
documents/Show_Trials/Radek_Pyatakov_Trial.doc	http://perpetrator2004.narod.ru/documents/Show_Trials/Radek_Pyatakov_Trial.doc	Процесс «антисоветского троцкистского центра	no	no
documents/Show_Trials/Bukharin_Trial.doc	http://perpetrator2004.narod.ru/documents/Show_Trials/Bukharin_Trial.doc	Процесс «троцкистко-бухаринского блока»»	no	no
http://perpetrator2004.narod.ru/documents/Yagoda/Yagoda_Search_Record.doc	http://perpetrator2004.narod.ru/documents/Yagoda/Yagoda_Search_Record.doc	Акт об обыске у Ягоды	no	yes
