rank	document_post_id	document_title	content_words	process_title	collection_title	document_url
83	7665	Заявление В.В. Шмидта И.В. Сталину и Н.И. Ежову	6062	ПРОЦЕСС 2-12 МАРТА 1938 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/zayavlenie-v-v-shmidta-i-v-stalinu-i-n-i-ezhovu/
84	7878	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса В.Ф. Головина	5999	ПРОЦЕСС 2-12 МАРТА 1938 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-staltinu-s-prilozheniem-protokola-doprosa-v-f-golovina/
85	7627	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса П.К. Александрова	5994	ПРОЦЕСС 2-12 МАРТА 1938 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-2/
86	6527	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса К.Б. Радека	5989	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-k-b-radeka-4/
87	7625	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса М.Г. Грольмана	5937	ПРОЦЕСС 2-12 МАРТА 1938 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-m-g-grolmana/
88	5859	Протокол допроса В.А. Финашина	5929	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/protokol-doprosa-v-a-finashina/
89	4288	Выписка из стенографического отчета закрытого партсобрания редколлектива газеты “Известия” (выступления К.Б. Радека)	5918	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	ДРУГИЕ ДОКУМЕНТЫ	http://showtrials.ru/vypiska-iz-stenograficheskogo-otcheta-zakrytogo-partsobraniya-redkollektiva-gazety-izvestiya-vystupleniya-k-b-radeka/
90	5732	Спецсообщение Г.Г. Ягоды Н.И. Ежову с приложением протокола допроса С.М. Закса-Гладнева	5896	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/speczsoobshhenie-g-g-yagody-n-i-ezhovu-s-prilozheniem-protokola-doprosa-s-m-zaksa-gladneva/
91	7548	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса Л.Я. Любарского и выписки из протокола заседания бюро ГК ВКП(б) г. Шахты	5893	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-l-ya-lyubarskogo-i-vypiski-iz-protokola-zasedaniya-byuro-gk-vkpb-g-shahty/
92	5873	Спецсообщение Н.И. Ежова И.В. Сталину с приложением протокола допроса А.А. Шестова	5883	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	МАТЕРИАЛЫ СЛЕДСТВИЯ	http://showtrials.ru/speczsoobshhenie-n-i-ezhova-i-v-stalinu-s-prilozheniem-protokola-doprosa-a-a-shestova/
