person_a	person_b	document_count
Г.Г. Ягода	Д.С. Азбеля	1
А.Я. Свердлова	Агранов	1
Ежов	С.Н. Цыбульника	1
А.С. Куклина	А.Я. Вышинский	1
А.С. Куклина	Сталин	1
Агранов	Д.С. Азбеля	1
Е.Ф. Ермолаевой	Ежов	1
Агранов	Н.Б. Розенфельда	1
Агранов	Л.Я. Нехамкина	1
Ежов	Л.Я. Нехамкина	1
Каменев	Н.А. Розенфельд	1
Е.К. Мухановой	Каменев	1
Д.С. Тайца	М.И. Гая	1
В.Д. Вуйовича	Г.Г. Ягода	1
К.Е. Ворошилова	М.И. Кащеева	1
М.И. Кащеева	Сталин	1
Г.Г. Ягода	Н.А. Розенфельд	1
В.Г. Дорошина	Г.Г. Ягода	1
В.Г. Дорошина	Сталин	1
А.И. Синелобова	Агранов	1
А.И. Синелобова	Сталин	1
А.М. Горькому	Зиновьев	1
Г.М. Маленкова	Сталин	1
Г.М. Маленкова	Л.М. Каганович	1
Г.М. Маленкова	К.С. Модебадзе	1
К.С. Модебадзе	Сталин	1
К.С. Модебадзе	Л.М. Каганович	1
Г.Г. Ягода	К.Е. Ворошилова	1
К.Е. Ворошилова	С.В. Мрачковский	1
Г.Б. Синани-Скалов	Д.З. Мануильскому	1
П.А. Залуцкого	Сталин	1
Л.М. Каганович	Т.И. Глебовой	1
Агранов	Я.Р. Ельковича	1
А.Е. Авдеевой	Е.С. Мишаковой	1
Г.Г. Ягода	М.С. Жалыбина-Быкова	1
М.С. Жалыбина-Быкова	Сталин	1
А.М. Горькому	Каменев	1
Л.Я. Файвиловича	Сталин	1
Г.Е. Евдокимовым	Зиновьев	1
Зиновьев	Н.А. Царькова	1
Г.И. Сафаровым	Зиновьев	1
Зиновьев	М.М. Харитоновым	1
Зиновьев	Киров	1
Л.М. Каганович	М.М. Харитонова	1
А.В. Перимовым	И.С. Горшениным	1
И.П. Бакаевым	И.С. Горшениным	1
Г.Е. Евдокимовым	Я.В. Шарова	1
Г.Е. Евдокимовым	И.С. Горшениным	1
Г.Е. Евдокимовым	И.П. Бакаевым	1
И.И. Тарасова	Сталин	1
А.В. Герцберга	А.С. Куклиным	1
Киров	С.М. Гессена	1
А.М. Гертика	Киров	1
А.М. Гертика	И.С. Горшениным	1
