entity_a	entity_b	document_count
отчета	пленума	1
А.С. Енукидзе	делу	1
А.С. Енукидзе	аппарате	1
аппарате	делу	1
Ежов	Р.А. Петерсона	1
Р.А. Петерсона	вопросам	1
Ежов	вопросам	1
П.Ф. Зайцева	вопросу	1
П.Ф. Зайцева	чуждых	1
П.Ф. Зайцева	аппарате	1
Ежов	вопросу	1
Ежов	чуждых	1
вопросу	чуждых	1
аппарате	вопросу	1
аппарате	чуждых	1
Е.Н. Васильева	Ежов	1
Ежов	реагировании	1
Ежов	неблагополучном	1
Ежов	правительственной	1
Ежов	время	1
Г.Г. Ягоды	мерах	1
Сталин	мерах	1
Секретариата	деле	1
М.Ф. Шкирятову	Р.А. Петерсона	1
Д.И. Антипаса	Р.А. Петерсона	1
Р.А. Петерсона	ответ	1
Д.И. Антипаса	М.Ф. Шкирятову	1
М.Ф. Шкирятову	ответ	1
Д.И. Антипаса	ответ	1
Е.Н. Васильева	М.Ф. Шкирятову	1
М.Ф. Шкирятову	время	1
В.К. Сотскова	М.Ф. Шкирятову	1
В.К. Сотскова	КПК	1
В.К. Сотскова	реагировании	1
В.К. Сотскова	неблагополучном	1
В.К. Сотскова	правительственной	1
Секретариату	акту	1
В.В. Осинского	Сталин	1
Г.Г. Ягоды	окончании	1
Сталин	окончании	1
Агранов	В.М. Рохинсона	1
В.М. Рохинсона	Ежов	1
В.Г. Яковенко	СПО	1
А.Н. Поскребышеву	А.С. Куклина	1
А.С. Куклина	жены	1
А.Н. Поскребышеву	жены	1
И.И. Соловьева	качестве	1
Агранов	Ю.Д. Урусова	1
Ежов	Ю.Д. Урусова	1
Е.Т. Черкасовой	качестве	1
С.Т. Узданского	качестве	1
Агранов	Л.А. Воронова	1
Ежов	Л.А. Воронова	1
М.И. Рябининой	качестве	1
З.И. Давыдовой	Н.А. Розенфельд	1
Б.Н. Розенфельдом	Е.К. Мухановой	1
П.Ф. Зайцева	переводе	1
Ежов	переводе	1
Агранов	Б.Н. Розенфельда	1
Б.Н. Розенфельда	Ежов	1
Н.Н. Мищенко	П.Ф. Поляковым	1
А.А. Гардина-	Агранов	1
А.А. Гардина-	Ежов	1
Е.К. Мухановой	З.И. Давыдовой	1
З.И. Давыдовой	Н.И. Бураго	1
Агранов	Н.И. Бураго	1
Ежов	Н.И. Бураго	1
Е.И. Медкова	качестве	1
Агранов	Г.Б. Синани-	1
делу	сотрудников	1
акта	сотрудников	1
акта	делу	1
Кремле	арестованных	1
Кремле	делу	1
В.Я. Головским-	К.К. Мухановым	1
Агранов	Ф.Г. Иванова	1
Ежов	Ф.Г. Иванова	1
Ежов	проведении	1
Сталин	проведении	1
Сталин	кремлевских	1
кремлевских	проведении	1
А.В. Бочарова	Агранов	1
А.В. Бочарова	Ежов	1
Е.Я. Буклея	качестве	1
Г.Б. Либермана	Г.Г. Ягоды	1
Г.Б. Либермана	Ежов	1
Д.И. Антипаса	Ежов	1
Д.И. Антипаса	работниках	1
Д.И. Антипаса	Кремля	1
Ежов	работниках	1
Ежов	Кремля	1
Кремля	работниках	1
М.Ф. Шкирятову	С.П. Терихова	1
С.П. Терихова	вопросу	1
С.П. Терихова	положении	1
С.П. Терихова	правительственной	1
М.Ф. Шкирятову	вопросу	1
вопросу	положении	1
вопросу	правительственной	1
