person	organization	document_count	person_total_documents	share_of_person_documents
А.А. Мусатова	ГУГБ	4	4	1.0
А.Г. Колодина	ВКП(б)	4	4	1.0
А.И. Анишева	Коминтерн	4	12	0.3333
А.М. Гертика	НКВД	4	11	0.3636
А.Н. Сафоновой	ВКП(б)	4	5	0.8
А.Н. Сафоновой	ГУГБ	4	5	0.8
А.Н. Слепкова	ВКП(б)	4	5	0.8
А.П. Костиной	НКВД	4	5	0.8
А.С. Енукидзе	ЦИК СССР	4	8	0.5
А.Я. Вышинский	Правда	4	10	0.4
Агранов	ЦИК СССР	4	74	0.0541
Астров	ЦК ВКП(б)	4	8	0.5
Б.А. Кушнера	ВКП(б)	4	4	1.0
Б.А. Кушнера	ГУГБ	4	4	1.0
Б.А. Кушнера	НКВД	4	4	1.0
Б.А. Кушнера	ЦК ВКП(б)	4	4	1.0
Б.Н. Розенфельда	ВКП(б)	4	5	0.8
Б.Н. Сахова	ГУГБ	4	9	0.4444
В.А. Балицкого	ГУГБ	4	13	0.3077
В.В. Румянцева	НКВД	4	12	0.3333
В.В. Шмидта	ВКП(б)	4	4	1.0
В.Г. Дорошина	ВКП(б)	4	4	1.0
В.Г. Дорошина	ГУГБ	4	4	1.0
В.Д. Миронова	ВКП(б)	4	4	1.0
В.Д. Миронова	ГУГБ	4	4	1.0
В.Д. Миронова	НКВД	4	4	1.0
В.Д. Миронова	ЦК ВКП(б)	4	4	1.0
В.И. Звездова	Политбюро	4	9	0.4444
В.И. Козырева	НКВД	4	5	0.8
Г.А. Молчанова	НКВД	4	8	0.5
Г.Б. Синани-Скалов	ГУГБ	4	12	0.3333
Г.Е. Евдокимова	ВКП(б)	4	14	0.2857
Г.Е. Евдокимовым	ГУГБ	4	4	1.0
Г.Е. Евдокимовым	НКВД	4	4	1.0
Г.И. Сафарова	ЦК ВКП(б)	4	32	0.125
Г.Л. Хасина	ВКП(б)	4	4	1.0
Г.Л. Хасина	ГУГБ	4	4	1.0
Г.Ф. Попова	НКВД	4	12	0.3333
Д.Н. Ширяева	НКВД	4	6	0.6667
Е.А. Дрейцера	Правда	4	7	0.5714
Е.А. Дрейцера	ЦК ВКП(б)	4	7	0.5714
Е.Ю. Раевской	ГУГБ	4	4	1.0
З.А. Ашрафяна	ВКП(б)	4	4	1.0
З.А. Ашрафяна	ГУГБ	4	4	1.0
З.А. Ашрафяна	НКВД	4	4	1.0
З.М. Беленького	ЦИК СССР	4	4	1.0
И.А. Князева	НКВД	4	4	1.0
И.И. Горовича	ГУГБ	4	4	1.0
И.И. Котолынова	НКВД	4	13	0.3077
И.И. Трусова	ГУГБ	4	4	1.0
И.К. Наумова	ВКП(б)	4	6	0.6667
И.К. Наумова	ГУГБ	4	6	0.6667
И.К. Наумова	НКВД	4	6	0.6667
И.П. Бакаева	Коминтерн	4	13	0.3077
И.С. Горшениным	НКВД	4	5	0.8
И.Т. Смилги	ВКП(б)	4	4	1.0
К.Е. Ворошилова	ВКП(б)	4	4	1.0
К.Е. Ворошилова	ЦК ВКП(б)	4	4	1.0
Киров	ГУГБ	4	9	0.4444
Л.В. Николаевым	ГУГБ	4	4	1.0
Л.В. Николаевым	НКВД	4	4	1.0
Л.Д. Троцкий	Коминтерн	4	28	0.1429
Л.И. Сосицкого	ВКП(б)	4	4	1.0
Л.С. Сосновского	ВКП(б)	4	5	0.8
Л.С. Сосновского	ЦК ВКП(б)	4	5	0.8
Л.Ф. Дитятевой	ГУГБ	4	5	0.8
Л.Ф. Дитятевой	ЦК ВКП(б)	4	5	0.8
Л.Я. Файвиловича	ВКП(б)	4	6	0.6667
М.В. Поздеевой	ВКП(б)	4	5	0.8
М.К. Чернявского	ЦК ВКП(б)	4	11	0.3636
М.М. Киллерога	ЦК ВКП(б)	4	6	0.6667
М.М. Харитонова	ГУГБ	4	11	0.3636
М.Н. Яковлева	НКВД	4	9	0.4444
М.С. Богуславского	ВКП(б)	4	4	1.0
М.С. Строилова	ГУГБ	4	4	1.0
Молотов	ЦК ВКП(б)	4	6	0.6667
Н.А. Карева	ВКП(б)	4	4	1.0
Н.А. Угланова	ЦК ВКП(б)	4	6	0.6667
Н.Б. Розенфельда	ВКП(б)	4	5	0.8
Н.П. Мясникова	ВКП(б)	4	7	0.5714
Н.С. Антонова	ВКП(б)	4	10	0.4
Ольберг	Известия	4	94	0.0426
П.А. Николаева	ВКП(б)	4	10	0.4
П.А. Николаева	ОО ГУГБ НКВД	4	10	0.4
Пятаков	НКВД	4	22	0.1818
Р.В. Пикеля	ВКП(б)	4	4	1.0
Р.В. Пикеля	Коминтерн	4	4	1.0
Р.М. Кулишера	ГУГБ	4	4	1.0
Р.М. Кулишера	НКВД	4	4	1.0
Р.М. Кулишера	ОО ГУГБ НКВД	4	4	1.0
Рыков	НКВД	4	18	0.2222
С.В. Мрачковский	ИНО ГУГБ	4	8	0.5
С.В. Мрачковский	НКВД	4	8	0.5
С.Х. Варданиана	ВКП(б)	4	4	1.0
С.Х. Варданиана	ГУГБ	4	4	1.0
Седов	Правда	4	78	0.0513
