person	total_process_documents	process_count	process_kind_count	top_process	top_process_document_count	top_process_share	process_distribution	process_kind_distribution	interpretation_note
И.С. Горшениным	5	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	5	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:5	related_case:5	process_profile_from_document_cooccurrence
М.С. Рэма	5	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	5	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:5	related_case:5	process_profile_from_document_cooccurrence
Н.А. Царькова	5	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	5	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:5	related_case:5	process_profile_from_document_cooccurrence
Н.Б. Розенфельда	5	1	1	КРЕМЛЕВСКОЕ ДЕЛО	5	1.0	КРЕМЛЕВСКОЕ ДЕЛО:5	related_case:5	process_profile_from_document_cooccurrence
П.А. Коваленко	5	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	5	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:5	major_show_trial:5	process_profile_from_document_cooccurrence
Шемелев	5	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	5	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:5	major_show_trial:5	process_profile_from_document_cooccurrence
Я.В. Шарова	5	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	5	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:5	related_case:5	process_profile_from_document_cooccurrence
Я.С. Розанова	5	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	5	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:5	major_show_trial:5	process_profile_from_document_cooccurrence
К.Е. Ворошилова	4	4	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	0.25	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1 | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:1	major_show_trial:3 | related_case:1	process_profile_from_document_cooccurrence
И.Т. Смилги	4	3	2	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	0.5	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:2 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	related_case:2 | major_show_trial:2	process_profile_from_document_cooccurrence
М.П. Томского	4	3	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	0.5	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:2 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:4	process_profile_from_document_cooccurrence
М.С. Богуславского	4	2	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	3	0.75	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:3 | ПРОЦЕСС 19-23 АВГУСТА 1936 г.:1	major_show_trial:4	process_profile_from_document_cooccurrence
Н.А. Карева	4	2	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	3	0.75	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:3 | ПРОЦЕСС 2-12 МАРТА 1938 г.:1	major_show_trial:4	process_profile_from_document_cooccurrence
С.Х. Варданиана	4	2	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	3	0.75	ПРОЦЕСС 2-12 МАРТА 1938 г.:3 | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:1	major_show_trial:4	process_profile_from_document_cooccurrence
А.А. Мусатова	4	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	4	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:4	major_show_trial:4	process_profile_from_document_cooccurrence
А.А. Трояновского	4	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	4	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:4	major_show_trial:4	process_profile_from_document_cooccurrence
А.В. Герцберга	4	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	4	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:4	related_case:4	process_profile_from_document_cooccurrence
А.Г. Колодина	4	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	4	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:4	major_show_trial:4	process_profile_from_document_cooccurrence
А.И. Александрова	4	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	4	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:4	related_case:4	process_profile_from_document_cooccurrence
Б.А. Кушнера	4	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	4	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:4	major_show_trial:4	process_profile_from_document_cooccurrence
В.В. Осинского	4	1	1	КРЕМЛЕВСКОЕ ДЕЛО	4	1.0	КРЕМЛЕВСКОЕ ДЕЛО:4	related_case:4	process_profile_from_document_cooccurrence
В.В. Шмидта	4	1	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	4	1.0	ПРОЦЕСС 2-12 МАРТА 1938 г.:4	major_show_trial:4	process_profile_from_document_cooccurrence
В.Г. Дорошина	4	1	1	КРЕМЛЕВСКОЕ ДЕЛО	4	1.0	КРЕМЛЕВСКОЕ ДЕЛО:4	related_case:4	process_profile_from_document_cooccurrence
В.Д. Миронова	4	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	4	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:4	related_case:4	process_profile_from_document_cooccurrence
Г.Е. Евдокимовым	4	1	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	4	1.0	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”:4	related_case:4	process_profile_from_document_cooccurrence
Г.Л. Хасина	4	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	4	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:4	major_show_trial:4	process_profile_from_document_cooccurrence
Д.Л. Игнатюка	4	1	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	4	1.0	ПРОЦЕСС 19-23 АВГУСТА 1936 г.:4	major_show_trial:4	process_profile_from_document_cooccurrence
Е.Ю. Раевской	4	1	1	КРЕМЛЕВСКОЕ ДЕЛО	4	1.0	КРЕМЛЕВСКОЕ ДЕЛО:4	related_case:4	process_profile_from_document_cooccurrence
З.А. Ашрафяна	4	1	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	4	1.0	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.:4	major_show_trial:4	process_profile_from_document_cooccurrence
