entity	document_count	total_words	process_count	processes	collection_count	collections
В.Н. Голованова	2	3251	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.Е. Пушина	2	4193	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.А. Козина	2	3439	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Я.Д. Лейбмана	2	1945	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Д.И. Матвеева	2	3316	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.И. Юлина	2	5471	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.В. Михайлика	2	2346	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Ф.И. Вайсберга	2	2331	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Е.Р. Майера	2	5283	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
деятельности	2	28728	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.А. Колоскова	2	4513	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.О. Гольденберга	2	946	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.В. Лугового-	2	2885	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
газеты	2	600	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	ДРУГИЕ ДОКУМЕНТЫ
М.Т. Антонова	2	7453	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.С. Фридлянда	2	4463	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Пригожин	2	10794	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
С.М. Закса-	2	8900	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
К.Б. Бермана-	2	8694	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.А. Каревым	2	6582	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
С.Я. Бабахана	2	4317	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.В. Галкина	2	3044	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.Л. Лурье	2	4476	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.М. Бык-	2	2303	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
П.А. Липшица	2	5062	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.С. Эстермана	2	6764	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.М. Маторина	2	2977	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.А. Бусыгина	2	3997	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Я.Я. Упмал-	2	3950	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.Л. Шкловского	2	2526	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Президиум	1	912	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	БУХАРИН
Совета	1	912	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	БУХАРИН
помиловании	1	912	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	БУХАРИН
слова	1	3960	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	БУХАРИН
Н.Д. Зарицкого	1	589	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	БУХАРИН
следователю	1	589	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	БУХАРИН
заключенного	1	1486	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	БУХАРИН
контактах	1	1362	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	ДРУГИЕ ДОКУМЕНТЫ
Минске	1	1362	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	ДРУГИЕ ДОКУМЕНТЫ
Н.М. Букалова	1	2826	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.Ф. Ульянова	1	2372	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
арестованного	1	1179	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	БУХАРИН
согласии	1	142	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	БУХАРИН
Г.Г. Ягодой	1	3577	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
С.М. Тамаркина	1	248	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
санкции	1	248	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.Л. Левина	1	3550	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Б.Л. Колесникова	1	3436	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Ю.И. Дуката	1	2774	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.С. Герасимато	1	1939	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.А. Табанакова	1	3692	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.В. Шмидтом	1	3349	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Б.П. Нестеровым	1	3298	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Я.К. Яглома	1	4074	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.Е. Меерсона	1	2922	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
О.А. Мешковской	1	3133	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.Е. Нилендера	1	2463	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
обысках	1	484	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Сормовском	1	484	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
С.В. Слащева	1	962	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.С. Веритовой	1	1002	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
С.Ф. Васильченко	1	900	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.И. Клюшенкова	1	764	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.П. Удалова	1	922	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.Е. Шмундака	1	1107	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
записки	1	403	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
троцкистах	1	403	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.И. Бриггиса	1	2254	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.П. Вяткина	1	2447	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
репрессировании	1	423	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	СПРАВКА
М.А. Нырчуком	1	1222	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.Б. Берндта	1	650	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
К.К. Боштедта	1	699	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.П. Адамяна	1	464	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.М. Попова	1	912	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
С.А. Шахиджанян	1	569	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.Т. Мясничкова	1	520	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
З.С. Синициной	1	1009	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Ю.Р. Закгейма	1	1015	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
З.И. Фридмана	1	2338	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Е.М. Дебрева	1	1099	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.И. Демченко	1	1108	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Я.П. Новикова	1	527	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
архива	1	924	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	СПРАВКА
А.Н. Бурова	1	1277	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
крайкома	1	1277	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.К. Бормана	1	913	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	ПРЕДЫСТОРИЯ
Г.Ф. Самойловича	1	1032	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
вещественных	1	1008	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
К.Я. Янсона	1	809	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.И. Звады	1	1173	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.Н. Соина	1	1661	1	РАЗНЫЕ ДОКУМЕНТЫ	1	РАЗНЫЕ ДОКУМЕНТЫ
В.А. Ваганяна	1	222	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	ДРУГИЕ ДОКУМЕНТЫ
В.Е. Цесарского	1	931	1	КРЕМЛЕВСКОЕ ДЕЛО	1	ДРУГИЕ ДОКУМЕНТЫ
Н.Г. Андрейчука	1	478	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.Н. Дорошенко	1	256	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
литературной	1	1576	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
З.Е. Саркисьяна	1	3141	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	ДРУГИЕ ДОКУМЕНТЫ
начальника	1	3141	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	ДРУГИЕ ДОКУМЕНТЫ
горотдела	1	3141	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	ДРУГИЕ ДОКУМЕНТЫ
И.А. Мальгина	1	2111	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	ДРУГИЕ ДОКУМЕНТЫ
Л.З. Мехлису	1	443	1	КРЕМЛЕВСКОЕ ДЕЛО	1	ДРУГИЕ ДОКУМЕНТЫ
постоянного	1	443	1	КРЕМЛЕВСКОЕ ДЕЛО	1	ДРУГИЕ ДОКУМЕНТЫ
Я.Х. Петерса	1	1388	1	КРЕМЛЕВСКОЕ ДЕЛО	1	ДРУГИЕ ДОКУМЕНТЫ
Кекс	1	1388	1	КРЕМЛЕВСКОЕ ДЕЛО	1	ДРУГИЕ ДОКУМЕНТЫ
машиностроительного	1	1388	1	КРЕМЛЕВСКОЕ ДЕЛО	1	ДРУГИЕ ДОКУМЕНТЫ
М.И. Ганштака	1	498	1	КРЕМЛЕВСКОЕ ДЕЛО	1	ДРУГИЕ ДОКУМЕНТЫ
И.А. Акулову	1	498	1	КРЕМЛЕВСКОЕ ДЕЛО	1	ДРУГИЕ ДОКУМЕНТЫ
Суда	1	1567	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.С. Голендо	1	9927	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	ДРУГИЕ ДОКУМЕНТЫ
Н.В. Комогорова	1	6540	1	РАЗНЫЕ ДОКУМЕНТЫ	1	РАЗНЫЕ ДОКУМЕНТЫ
вопросам	1	310	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ
чуждых	1	4936	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ
Секретариата	1	2474	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ
ответ	1	981	1	КРЕМЛЕВСКОЕ ДЕЛО	1	ДРУГИЕ ДОКУМЕНТЫ
В.К. Сотскова	1	154	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ
акту	1	1771	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ
Секретариату	1	1771	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ
окончании	1	253	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.С. Югова	1	168	1	РАЗНЫЕ ДОКУМЕНТЫ	1	РАЗНЫЕ ДОКУМЕНТЫ
П.И. Жиромского	1	716	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.Н. Поскребышеву	1	45	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	ДРУГИЕ ДОКУМЕНТЫ
жены	1	45	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	ДРУГИЕ ДОКУМЕНТЫ
И.И. Соловьева	1	1270	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Ю.Д. Урусова	1	1170	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Е.Т. Черкасовой	1	702	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.В. Дубовской	1	949	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
С.Т. Узданского	1	2062	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.А. Воронова	1	1053	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.И. Рябининой	1	548	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.И. Мячиной	1	828	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Б.Н. Розенфельдом	1	391	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
переводе	1	155	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ
Ф.И. Музыки	1	1427	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
П.Ф. Поляковым	1	302	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Е.И. Лакиды	1	618	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.А. Гардина-	1	1619	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Е.И. Медкова	1	1004	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
С.М. Житомирского	1	1375	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.М. Покатиловского	1	579	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Б.Л. Лопатинского	1	534	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Е.Г. Соловьевой	1	948	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
сотрудников	1	536	1	КРЕМЛЕВСКОЕ ДЕЛО	1	ДРУГИЕ ДОКУМЕНТЫ
акта	1	536	1	КРЕМЛЕВСКОЕ ДЕЛО	1	ДРУГИЕ ДОКУМЕНТЫ
Кремле	1	4775	1	КРЕМЛЕВСКОЕ ДЕЛО	1	ДРУГИЕ ДОКУМЕНТЫ
В.Я. Головским-	1	282	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
К.К. Мухановым	1	282	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
проведении	1	757	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ
А.В. Бочарова	1	1534	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	ДРУГИЕ ДОКУМЕНТЫ
С.А. Руднева	1	1130	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Е.Я. Буклея	1	1406	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.Б. Либермана	1	4815	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
работниках	1	5203	1	КРЕМЛЕВСКОЕ ДЕЛО	1	ДРУГИЕ ДОКУМЕНТЫ
Кремля	1	5203	1	КРЕМЛЕВСКОЕ ДЕЛО	1	ДРУГИЕ ДОКУМЕНТЫ
С.П. Терихова	1	1723	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ
Е.С. Мельниковой	1	594	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Е.П. Рудневой	1	825	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Е.Э. Чернозубовой	1	995	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.Д. Вуйовичем	1	647	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.Л. Голоступеца	1	827	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.М. Михайлова	1	1272	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
секретным	1	839	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ
ЦИК	1	1162	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ
Якубовича	1	150	1	КРЕМЛЕВСКОЕ ДЕЛО	1	Г.Б. СИНАНИ-СКАЛОВ
Б.А. Васильева	1	282	1	КРЕМЛЕВСКОЕ ДЕЛО	1	Г.Б. СИНАНИ-СКАЛОВ
Коминтерн	1	282	1	КРЕМЛЕВСКОЕ ДЕЛО	1	Г.Б. СИНАНИ-СКАЛОВ
Л.К. Пелипейко	1	1108	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.К. Гогуа	1	1554	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.М. Ивановой	1	1361	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
фонда	1	523	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ
недостатках	1	984	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ
М.К. Мухановой	1	1473	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.Г. Корчагиной	1	1085	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
С.Н. Цыбульника	1	1159	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ
наличии	1	1159	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ
элемента	1	1159	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ
Я.В. Апушкина	1	820	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
С.П. Раевского	1	1442	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.П. Дьячкова	1	724	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.Д. Кочетовой	1	1589	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.М. Сосипатрова	1	1821	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.В. Больших	1	829	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Р.Г. Миндель	1	2037	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Е.Ф. Ермолаевой	1	1433	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	ДРУГИЕ ДОКУМЕНТЫ
В.К. Клейна	1	769	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.Я. Нехамкина	1	748	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
К.Е. Дубовского	1	1136	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
исключении	1	145	1	КРЕМЛЕВСКОЕ ДЕЛО	1	Г.Б. СИНАНИ-СКАЛОВ
А.А. Нелидовой	1	1119	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
личного	1	1548	1	КРЕМЛЕВСКОЕ ДЕЛО	1	ДРУГИЕ ДОКУМЕНТЫ
Союза	1	1548	1	КРЕМЛЕВСКОЕ ДЕЛО	1	ДРУГИЕ ДОКУМЕНТЫ
А.И. Никитинской	1	895	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.П. Жашковой	1	780	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
М.И. Гая	1	380	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	ДРУГИЕ ДОКУМЕНТЫ
Д.С. Тайца	1	380	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	ДРУГИЕ ДОКУМЕНТЫ
