person	raw_forms	document_count	total_words	first_date	last_date	process_count	processes	collection_count	collections
М.С. Окуджавы	М.С. Окуджавы	3	3189	1936-08-27T17:02:48	1937-02-10T16:58:51	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.И. Гордона	Н.И. Гордона	3	4676	1936-10-20T14:35:32	1936-11-29T14:39:24	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.И. Москалева	Н.И. Москалева	3	2298	1936-09-13T00:36:00	1936-09-14T02:36:00	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.М. Лукина-Бухарина	Н.М. Лукиной-	3	1722	1936-08-23T19:40:57	1937-01-13T19:46:24	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	БУХАРИН
Н.Н. Крестинского	Н.Н. Крестинского	3	1226	1928-04-08T15:09:15	1937-01-26T17:58:39	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	ДРУГИЕ ДОКУМЕНТЫ
Н.Н. Шатским	Н.Н. Шатским	3	1392	1934-12-18T06:00:00	1934-12-20T01:00:00	2	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА” | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.П. Глебов-Авилов	Н.П. Глебова-	3	7576	1936-10-21T06:40:00	1936-12-26T00:29:00	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.П. Михетко	Н.П. Михетко	3	7901	1936-10-24T00:29:00	1936-11-01T02:29:00	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.П. Мясниковым	Н.П. Мясниковым	3	603	1934-12-18T10:00:00	1934-12-25T01:00:00	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Н.С. Антоновым	Н.С. Антоновым	3	858	1934-12-17T08:00:00	1934-12-25T03:00:00	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
П.А. Залуцкого	П.А. Залуцкого	3	1480	1935-01-17T03:00:00	1935-01-22T02:00:00	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
П.И. Гордеевой	П.И. Гордеевой	3	2290	1935-02-10T04:00:00	1935-03-03T00:26:00	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
П.Ф. Зайцева	П.Ф. Зайцева	3	6075	1935-03-24T14:23:00	1935-05-22T15:01:00	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ
П.Ф. Сапожникова	П.Ф. Сапожникова	3	33415	1936-09-08T00:36:00	1936-12-26T00:29:00	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
П.Э. Роцкана	П.Э. Роцкана	3	1986	1935-01-11T05:00:00	1935-01-18T01:00:00	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
С.И. Лукашика	С.И. Лукашика	3	9443	1937-01-19T11:10:34	1937-01-25T11:20:10	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
С.Я. Шаева	С.Я. Шаева	3	5791	1936-10-31T13:52:22	1936-11-14T13:54:11	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Ф.А. Горбуновой	Ф.А. Горбуновой	3	3963	1936-03-15T02:00:00	1936-04-19T08:33:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Х.Г. Гуревича	Х.Г. Гуревича	3	7698	1936-04-20T02:00:00	1936-05-18T00:10:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Х.Г. Раковского	Х.Г. Раковского | Х.Г. Раковском	3	2091	1937-01-25T12:24:06	1937-01-28T17:43:30	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
Ю.М. Коцюбинского	Ю.М. Коцюбинского	3	8865	1936-10-16T21:54:28	1936-10-25T21:33:36	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Я.Н. Вечерковского	Я.Н. Вечерковского	3	8002	1937-01-03T19:38:40	1937-01-10T19:46:17	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Я.Н. Дробниса	Я.Н. Дробниса | Я.Н. Дробнисом	3	6186	1936-09-26T00:36:00	1937-01-18T22:31:44	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.А. Бусыгина	А.А. Бусыгина	2	3997	1936-05-20T01:10:00	1936-05-22T00:10:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.А. Лаврентьева	А.А. Лаврентьева	2	723	1935-10-31T17:07:00	1935-11-01T17:08:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.А. Муштакова	А.А. Муштакова	2	630	1934-12-18T04:00:05	1934-12-19T12:00:01	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.А. Хвыли	А.А. Хвыли	2	7380	1936-11-10T08:13:39	1937-01-08T08:30:27	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.В. Галкина	А.В. Галкина	2	3044	1936-07-11T00:10:00	1936-07-21T05:10:00	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.В. Луговой-Левенштейн	А.В. Лугового-	2	2885	1936-09-10T02:36:00	1936-09-14T04:36:00	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.В. Румянцева	А.В. Румянцева	2	370	1934-12-24T02:19:56	1935-01-04T10:41:17	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	ДРУГИЕ ДОКУМЕНТЫ
А.Д. Арефьева	А.Д. Арефьева	2	5002	1933-04-01T12:21:44	1937-02-21T13:39:11	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	2	МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ
А.Д. Зайцева	А.Д. Зайцева	2	13395	1936-12-24T20:15:51	1937-01-11T13:55:18	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.И. Потяева	А.И. Потяева	2	2950	1936-10-10T03:36:00	1936-10-27T20:53:56	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.И. Стецкого	А.И. Стецкого	2	1455	1937-01-17T21:09:38	1937-02-02T19:09:07	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	ДРУГИЕ ДОКУМЕНТЫ
А.И. Юлина	А.И. Юлина	2	5471	1936-09-23T01:36:00	1936-10-15T00:36:00	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.М. Горькому	А.М. Горькому	2	2515	1935-01-17T23:18:28	1935-01-27T08:32:25	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	ДРУГИЕ ДОКУМЕНТЫ
А.М. Гусева	А.М. Гусева	2	1864	1935-03-20T04:00:00	1935-07-01T18:41:00	1	КРЕМЛЕВСКОЕ ДЕЛО	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
А.М. Зорина	А.М. Зорина	2	2968	1936-11-03T12:05:56	1937-02-03T16:14:09	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.М. Штейна	А.М. Штейна	2	3644	1936-12-01T16:51:59	1936-12-14T16:54:53	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.П. Загорулько	А.П. Загорулько	2	2517	1936-03-25T04:00:00	1936-04-03T03:00:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.С. Куклиным	А.С. Куклиным	2	498	1935-01-02T20:00:00	1935-01-07T07:00:00	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
А.С. Соколова	А.С. Соколова	2	4158	1936-03-26T02:00:00	1936-04-08T01:23:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Б.И. Лехтмана	Б.И. Лехтмана	2	3442	1935-11-28T19:07:00	1935-12-22T00:04:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Б.М. Таля	Б.М. Таля	2	2510	1936-09-07T17:52:08	1936-10-29T10:29:29	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	ДРУГИЕ ДОКУМЕНТЫ
В.А. Ельчаниновой	В.А. Ельчаниновой	2	2082	1935-03-08T04:00:00	1935-03-13T04:00:00	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.А. Закамалдина	В.А. Закамалдина	2	3067	1937-02-21T10:56:26	1937-02-26T12:50:33	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.А. Котова	В.А. Котова	2	6232	1936-12-19T19:53:43	1937-02-05T07:37:59	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.В. Досекина	В.В. Досекина	2	1279	1936-03-02T00:42:00	1936-03-10T01:22:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.В. Папкова	В.В. Папкова	2	2487	1936-10-25T18:53:42	1936-11-15T14:40:11	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.Д. Вуйовича	В.Д. Вуйовича	2	2332	1935-02-16T15:11:14	1935-04-03T04:00:00	2	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.И. Звездовым	В.И. Звездовым	2	613	1934-12-17T09:00:00	1934-12-18T07:00:00	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.И. Невского	В.И. Невского	2	2037	1936-10-24T11:12:51	1936-11-23T12:54:11	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.И. Пучкова	В.И. Пучкова	2	6861	1936-10-31T00:29:00	1936-11-11T20:40:35	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.И. Шипихина	В.И. Шипихина	2	6755	1935-08-26T13:51:45	1935-10-21T18:34:00	1	КРЕМЛЕВСКОЕ ДЕЛО	1	ДРУГИЕ ДОКУМЕНТЫ
В.М. Андреева	В.М. Андреева	2	6661	1936-10-21T22:33:35	1936-10-27T01:29:00	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.М. Примакова	В.М. Примакова	2	1178	1936-10-16T17:02:18	1936-11-09T22:12:06	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
В.М. Рохинсона	В.М. Рохинсона	2	2325	1935-04-17T01:00:00	1935-04-29T00:10:00	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.Н. Голованова	В.Н. Голованова	2	3251	1936-10-19T00:57:00	1936-10-26T18:50:19	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.Н. Ракова	В.Н. Ракова	2	1737	1936-02-21T01:42:00	1936-02-28T00:42:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.Н. Цатурова-Большакова	В.Н. Цатуровой-	2	480	1934-12-31T09:00:00	1935-01-04T13:00:00	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
В.Н. Яковлевой	В.Н. Яковлевой	2	2659	1936-09-10T13:07:25	1937-02-06T19:15:18	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС 2-12 МАРТА 1938 г.	1	ДРУГИЕ ДОКУМЕНТЫ
В.Ф. Головина	В.Ф. Головина	2	10512	1937-02-03T17:09:05	1937-02-08T18:47:38	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.А. Колоскова	Г.А. Колоскова	2	4513	1936-09-14T03:36:00	1936-09-29T00:36:00	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.В. Соколовым	Г.В. Соколовым	2	795	1934-12-18T07:00:00	1934-12-19T03:00:00	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.Е. Пушина	Г.Е. Пушина	2	4193	1936-10-22T13:26:00	1936-10-26T18:46:35	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.И. Шварца	Г.И. Шварца	2	1048	1934-12-31T10:00:00	1935-01-01T00:00:00	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.Л. Шкловского	Г.Л. Шкловского	2	2526	1936-05-04T00:10:00	1936-05-06T00:10:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.П. Поташникова	Г.П. Поташникова	2	590	1934-12-15T03:00:00	1934-12-18T08:00:00	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.С. Фридлянда	Г.С. Фридлянда	2	4463	1936-08-04T00:10:00	1936-08-07T02:10:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Г.Я. Маренко	Г.Я. Маренко	2	2361	1936-03-31T16:10:00	1936-04-01T00:42:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Гавен	Гавен	2	5433	1936-04-15T09:29:00	1936-04-23T00:00:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Д.А. Карцева	Д.А. Карцева	2	4258	1936-12-23T13:34:34	1936-12-27T13:37:15	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Д.З. Мануильскому	Д.З. Мануильскому	2	1781	1935-01-23T09:49:30	1936-08-11T18:39:00	2	КРЕМЛЕВСКОЕ ДЕЛО | ПРОЦЕСС 19-23 АВГУСТА 1936 г.	2	Г.Б. СИНАНИ-СКАЛОВ | ДРУГИЕ ДОКУМЕНТЫ
Д.И. Антипаса	Д.И. Антипаса	2	6184	1935-04-06T21:46:15	1935-05-10T21:54:55	1	КРЕМЛЕВСКОЕ ДЕЛО	1	ДРУГИЕ ДОКУМЕНТЫ
Д.И. Матвеева	Д.И. Матвеева	2	3316	1936-09-29T09:41:33	1936-10-17T16:01:52	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Д.П. Бухарцева	Д.П. Бухарцева	2	3640	1936-12-30T00:29:00	1937-02-07T11:58:12	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Д.С. Азбеля	Д.С. Азбеля	2	2214	1935-03-17T00:00:00	1935-03-29T00:08:00	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Д.Т. Шермергорна	Д.Т. Шермергорна	2	9620	1936-11-16T19:54:33	1937-01-19T12:27:50	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Е.А. Афанасьева	Е.А. Афанасьева	2	5106	1935-11-03T20:58:14	1936-12-23T01:29:00	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	2	МАТЕРИАЛЫ СЛЕДСТВИЯ | ПРЕДЫСТОРИЯ
Е.В. Рогачевой	Е.В. Рогачевой	2	683	1934-12-11T00:22:00	1934-12-12T07:20:51	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Е.Д. Соколовой	Е.Д. Соколовой	2	6727	1935-03-25T02:28:00	1935-04-01T14:50:00	1	КРЕМЛЕВСКОЕ ДЕЛО	2	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ
Е.И. Майзлиной	Е.И. Майзлиной	2	1886	1936-03-09T03:22:00	1936-03-14T01:22:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Е.М. Манюрин-Броварский	Е.М. Манюрина-	2	4177	1937-01-11T13:16:56	1937-01-14T13:20:52	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Е.М. Рыбальченко	Е.М. Рыбальченко	2	1805	1937-01-31T16:17:01	1937-02-02T16:20:42	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Е.Н. Васильева	Е.Н. Васильева	2	613	1935-05-10T14:57:00	1935-05-17T14:58:00	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ
Е.О. Симак	Е.О. Симак	2	1256	1935-02-15T05:39:00	1935-03-20T08:00:00	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Е.Р. Майера	Е.Р. Майера	2	5283	1936-10-01T09:07:38	1936-10-08T03:36:00	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Е.С. Мишаковой	Е.С. Мишаковой	2	481	1935-01-20T00:30:00	1935-01-20T02:00:00	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
З.В. Флоровой	З.В. Флоровой	2	2138	1936-02-26T01:42:00	1936-05-08T01:10:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
З.Д. Ханик	З.Д. Ханик	2	892	1934-12-24T18:34:36	1934-12-28T18:40:46	1	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	1	ДРУГИЕ ДОКУМЕНТЫ
И.А. Козина	И.А. Козина	2	3439	1936-10-19T01:29:00	1936-10-25T00:29:00	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.Д. Гаврикова	И.Д. Гаврикова	2	2520	1935-02-08T01:00:00	1935-03-02T02:00:00	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.Е. Коваленко	И.Е. Коваленко	2	5798	1936-10-28T00:29:00	1936-10-31T00:29:00	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.Е. Павлова	И.Е. Павлова	2	1585	1935-02-10T00:00:00	1935-02-28T00:00:00	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.И. Тарасовым	И.И. Тарасовым	2	541	1934-12-22T04:00:00	1935-01-05T19:00:00	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.М. Бык-Бек	И.М. Бык-	2	2303	1936-07-11T00:10:00	1936-07-20T00:10:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.Н. Стукова	И.Н. Стукова	2	2193	1936-03-28T02:00:00	1936-04-02T02:42:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.О. Гольденберга	И.О. Гольденберга	2	946	1936-09-19T07:57:19	1936-09-20T16:59:17	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.П. Крыженко	И.П. Крыженко	2	1236	1935-10-17T19:59:00	1935-11-28T20:07:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.С. Михайлова	И.С. Михайлова	2	3175	1936-10-10T02:36:00	1936-12-20T00:29:00	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.С. Эстермана	И.С. Эстермана	2	6764	1936-06-12T00:14:00	1936-07-02T00:41:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
И.Т. Ляшенко	И.Т. Ляшенко	2	5497	1936-10-04T00:36:00	1936-11-01T00:29:00	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
К.А. Озола	К.А. Озола	2	2373	1936-03-21T06:00:00	1936-03-28T03:00:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
К.Б. Берман-Юрин	К.Б. Бермана-	2	8694	1936-07-21T04:10:00	1936-08-01T03:10:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
К.И. Гидлевского	К.И. Гидлевского	2	2254	1936-03-16T02:36:00	1936-04-02T01:42:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
К.И. Грюнштейна	К.И. Грюнштейна	2	3123	1933-07-26T12:16:00	1936-07-13T01:10:00	1	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
К.Н. Емельянова	К.Н. Емельянова	2	840	1934-12-19T10:00:00	1934-12-19T11:00:00	1	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
К.С. Дорофеева	К.С. Дорофеева	2	5010	1936-09-10T03:36:00	1937-01-30T21:06:33	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
К.С. Модебадзе	К.С. Модебадзе	2	3561	1935-01-26T09:44:30	1937-02-08T16:54:44	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	2	ДРУГИЕ ДОКУМЕНТЫ | МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.А. Чернозубовой	Л.А. Чернозубовой	2	2687	1935-04-10T01:05:00	1935-04-22T02:00:00	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.А. Шацкина	Л.А. Шацкина	2	1473	1934-12-28T18:19:46	1936-11-04T18:39:00	2	ПРОЦЕСС 19-23 АВГУСТА 1936 г. | ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	2	ДРУГИЕ ДОКУМЕНТЫ | СПРАВКА
Л.В. Когану	Л.В. Когану	2	1249	1938-03-01T07:59:05	1938-03-04T09:59:22	1	ПРОЦЕСС 2-12 МАРТА 1938 г.	1	БУХАРИН
Л.Д. Гогоберидзе	Л.Д. Гогоберидзе	2	11783	1936-10-29T16:46:49	1937-03-17T11:06:09	2	ПРОЦЕСС 2-12 МАРТА 1938 г. | ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.Е. Бурковой	Л.Е. Бурковой	2	4503	1933-11-29T18:50:09	1935-03-20T01:00:00	1	КРЕМЛЕВСКОЕ ДЕЛО	2	МАТЕРИАЛЫ ПАРТИЙНОЙ ПРОВЕРКИ | МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.Е. Тамма	Л.Е. Тамма	2	4011	1936-11-08T15:25:42	1936-11-20T15:48:26	1	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
Л.Е. Хосроева	Л.Е. Хосроева	2	3664	1935-03-27T03:34:00	1935-03-28T08:00:00	1	КРЕМЛЕВСКОЕ ДЕЛО	1	МАТЕРИАЛЫ СЛЕДСТВИЯ
