person	organization_count	top_organizations	top_families	total_pair_document_sum
И.Н. Стукова	3	ВКП(б):2 | ГУГБ:2 | ЦК ВКП(б):1	party_apparatus:3 | security_apparatus:2	5
И.С. Эстермана	3	ВКП(б):2 | ГУГБ:2 | ЦК ВКП(б):1	party_apparatus:3 | security_apparatus:2	5
И.Я. Одыня	5	ВКП(б):1 | ГУГБ:1 | ИККИ:1 | Коминтерн:1 | ЦК ВКП(б):1	international:2 | party_apparatus:2 | security_apparatus:1	5
К.А. Довганя	5	ВКП(б):1 | ГУГБ:1 | НКВД:1 | Политбюро:1 | ЦК ВКП(б):1	party_apparatus:3 | security_apparatus:2	5
К.И. Гидлевского	3	ВКП(б):2 | ГУГБ:2 | ЦК ВКП(б):1	party_apparatus:3 | security_apparatus:2	5
К.М. Ерофицкого	5	ВКП(б):1 | ГУГБ:1 | НКВД:1 | Политбюро:1 | ЦК ВКП(б):1	party_apparatus:3 | security_apparatus:2	5
Л.А. Шацкина	5	ВКП(б):1 | КПК:1 | Правда:1 | Прокуратура СССР:1 | ЦК ВКП(б):1	party_apparatus:3 | judicial_apparatus:1 | press_media:1	5
Л.Я. Любарского	5	ВКП(б):1 | ГУГБ:1 | НКВД:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2 | press_media:1	5
М.А. Москвину	5	ВКП(б):1 | ИККИ:1 | Коминтерн:1 | НКВД:1 | Правда:1	international:2 | press_media:1 | security_apparatus:1 | party_apparatus:1	5
М.В. Михайлика	3	ВКП(б):2 | ГУГБ:2 | Совнарком:1	security_apparatus:2 | party_apparatus:2 | state_apparatus:1	5
М.Е. Быстрова	5	ВКП(б):1 | ГУГБ:1 | НКВД:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2 | press_media:1	5
М.И. Кахиани	5	ВКП(б):1 | ГУГБ:1 | КПК:1 | КПК при ЦК ВКП(б):1 | ЦК ВКП(б):1	party_apparatus:4 | security_apparatus:1	5
М.И. Кащеева	5	ВКП(б):1 | Коминтерн:1 | Политбюро:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:3 | international:1 | press_media:1	5
М.Ф. Иоэльсона	5	ВКП(б):1 | ГУГБ:1 | Известия:1 | Правда:1 | ЦК ВКП(б):1	press_media:2 | party_apparatus:2 | security_apparatus:1	5
М.Я. Карпова	5	ВКП(б):1 | Известия:1 | НКВД:1 | Правда:1 | ЦК ВКП(б):1	press_media:2 | party_apparatus:2 | security_apparatus:1	5
М.Я. Презента	5	ВКП(б):1 | ГУГБ:1 | НКВД:1 | НКИД:1 | ЦИК СССР:1	state_apparatus:2 | security_apparatus:2 | party_apparatus:1	5
Н.Г. Туманова	5	ВКП(б):1 | ГУГБ:1 | НКВД:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2 | press_media:1	5
Н.И. Мухина	3	ВКП(б):2 | НКВД:2 | Коминтерн:1	security_apparatus:2 | party_apparatus:2 | international:1	5
Н.Н. Алексеева	4	ВКП(б):2 | ИККИ:1 | Коминтерн:1 | ЦК ВКП(б):1	party_apparatus:3 | international:2	5
Н.Н. Шатского	3	ВКП(б):2 | ГУГБ:2 | НКВД:1	security_apparatus:3 | party_apparatus:2	5
Н.П. Мясниковым	2	ГУГБ:3 | НКВД:2	security_apparatus:5	5
П.И. Гордеевой	3	ГУГБ:3 | НКВД:1 | Совнарком:1	security_apparatus:4 | state_apparatus:1	5
П.П. Бурмистрова	4	ГУГБ:2 | ВКП(б):1 | НКВД:1 | ЦК ВКП(б):1	security_apparatus:3 | party_apparatus:2	5
П.Ф. Полякова	3	ВКП(б):2 | ГУГБ:2 | НКВД:1	security_apparatus:3 | party_apparatus:2	5
Р.Г. Миндель	5	ВКП(б):1 | ГУГБ:1 | ИНО ГУГБ:1 | НКВД:1 | ЦИК СССР:1	security_apparatus:3 | state_apparatus:1 | party_apparatus:1	5
С.А. Асилова	5	ВКП(б):1 | ГУГБ:1 | НКВД:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2 | press_media:1	5
С.Г. Гродзенского	5	ВКП(б):1 | ГУГБ:1 | НКВД:1 | Политбюро:1 | Совнарком:1	party_apparatus:2 | security_apparatus:2 | state_apparatus:1	5
С.Г. Томсинского	5	ВКП(б):1 | ГУГБ:1 | ИНО ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	security_apparatus:3 | party_apparatus:2	5
С.Е. Эйдмана	5	ВКП(б):1 | ГУГБ:1 | НКВД:1 | Политбюро:1 | ЦК ВКП(б):1	party_apparatus:3 | security_apparatus:2	5
С.П. Калашникова	4	ГУГБ:2 | ВКП(б):1 | НКВД:1 | ЦК ВКП(б):1	security_apparatus:3 | party_apparatus:2	5
С.С. Раввы	5	ВКП(б):1 | Верховный Суд СССР:1 | ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2 | judicial_apparatus:1	5
Т.П. Денисовой	3	ГУГБ:2 | НКВД:2 | Правда:1	security_apparatus:4 | press_media:1	5
Ф.И. Никогда	5	ВКП(б):1 | ГУГБ:1 | НКВД:1 | Политбюро:1 | ЦК ВКП(б):1	party_apparatus:3 | security_apparatus:2	5
Ф.П. Медведева	5	ВКП(б):1 | ГУГБ:1 | Коминтерн:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2 | international:1	5
Ю.Г. Островского	5	ВКП(б):1 | ГУГБ:1 | НКВД:1 | Политбюро:1 | ЦК ВКП(б):1	party_apparatus:3 | security_apparatus:2	5
А.А. Гардин-Гейер	4	ВКП(б):1 | ГУГБ:1 | Коминтерн:1 | ЦК ВКП(б):1	party_apparatus:2 | international:1 | security_apparatus:1	4
А.А. Карпова	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2	4
А.В. Дзедзиевского	4	ВКП(б):1 | ГУГБ:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:2 | press_media:1 | security_apparatus:1	4
А.В. Перимовым	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2	4
А.Д. Арефьева	3	ВКП(б):2 | ГУГБ:1 | ЦК ВКП(б):1	party_apparatus:3 | security_apparatus:1	4
А.Д. Бронштейне	4	ВКП(б):1 | Правда:1 | Прокуратура СССР:1 | ЦК ВКП(б):1	party_apparatus:2 | judicial_apparatus:1 | press_media:1	4
А.И. Бриггиса	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2	4
А.И. Емшанова	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2	4
А.И. Муралова	4	ВКП(б):1 | Правда:1 | Совнарком:1 | ЦК ВКП(б):1	party_apparatus:2 | state_apparatus:1 | press_media:1	4
А.И. Уварова	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2	4
А.К. Дрожжина	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2	4
А.Н. Барулина	4	ВКП(б):1 | КПК:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:3 | security_apparatus:1	4
А.Н. Бурова	4	ВКП(б):1 | Горьковский крайком ВКП(б):1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:3 | security_apparatus:1	4
А.О. Голлендера	4	ВКП(б):1 | ГУГБ:1 | Коминтерн:1 | НКВД:1	security_apparatus:2 | international:1 | party_apparatus:1	4
А.П. Метальникова	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2	4
А.С. Булину	4	ВКП(б):1 | КПК:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:3 | security_apparatus:1	4
Б.Д. Берману	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2	4
Б.З. Ливянта	4	ВКП(б):1 | ГУГБ:1 | Коминтерн:1 | ЦК ВКП(б):1	party_apparatus:2 | international:1 | security_apparatus:1	4
Б.М. Беккера	4	ВКП(б):1 | НКВД:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:2 | press_media:1 | security_apparatus:1	4
Б.С. Рабиновича	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | Правда:1	security_apparatus:2 | press_media:1 | party_apparatus:1	4
В.А. Закамалдина	2	ГУГБ:2 | НКВД:2	security_apparatus:4	4
В.В. Досекина	2	ВКП(б):2 | ГУГБ:2	security_apparatus:2 | party_apparatus:2	4
В.В. Папкова	2	ГУГБ:2 | НКВД:2	security_apparatus:4	4
В.Л. Горохова	4	ВКП(б):1 | ГУГБ:1 | Политбюро:1 | ЦК ВКП(б):1	party_apparatus:3 | security_apparatus:1	4
В.М. Андреева	3	НКВД:2 | ВКП(б):1 | ГУГБ:1	security_apparatus:3 | party_apparatus:1	4
В.М. Мулина	4	ВКП(б):1 | КПК:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:3 | security_apparatus:1	4
В.М. Примакова	3	НКВД:2 | ВКП(б):1 | ЦК ВКП(б):1	security_apparatus:2 | party_apparatus:2	4
В.Н. Ракова	2	ВКП(б):2 | ГУГБ:2	security_apparatus:2 | party_apparatus:2	4
В.П. Шевелев-Лубков	4	ВКП(б):1 | ГУГБ:1 | Политбюро:1 | ЦК ВКП(б):1	party_apparatus:3 | security_apparatus:1	4
В.Ф. Захариной	4	ВКП(б):1 | ГУГБ:1 | ЦИК СССР:1 | ЦК ВКП(б):1	party_apparatus:2 | state_apparatus:1 | security_apparatus:1	4
В.Ф. Логиновым	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2	4
Г.Д. Арсентьева	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2	4
Г.Е. Меерсона	4	ВКП(б):1 | Верховный Суд СССР:1 | ГУГБ:1 | Известия:1	judicial_apparatus:1 | press_media:1 | security_apparatus:1 | party_apparatus:1	4
Г.И. Исаева	4	ВКП(б):1 | ГУГБ:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:2 | press_media:1 | security_apparatus:1	4
Г.С. Биткера	4	ВКП(б):1 | ГУГБ:1 | Коминтерн:1 | ЦК ВКП(б):1	party_apparatus:2 | international:1 | security_apparatus:1	4
Г.С. Тымянского	4	ВКП(б):1 | ГУГБ:1 | Политбюро:1 | ЦК ВКП(б):1	party_apparatus:3 | security_apparatus:1	4
Д.А. Аникина	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ОО ГУГБ НКВД:1	security_apparatus:3 | party_apparatus:1	4
Д.А. Аникиным	4	ГУГБ:1 | НКВД:1 | ОО ГУГБ НКВД:1 | ЦИК СССР:1	security_apparatus:3 | state_apparatus:1	4
Д.А. Тайца	4	ВКП(б):1 | ГУГБ:1 | Коминтерн:1 | Правда:1	international:1 | press_media:1 | security_apparatus:1 | party_apparatus:1	4
Д.М. Лупашко	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2	4
Е.А. Петровой	2	ВКП(б):2 | ГУГБ:2	security_apparatus:2 | party_apparatus:2	4
Е.А. Преображенского	4	ВКП(б):1 | Коминтерн:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:2 | international:1 | press_media:1	4
Е.И. Медкова	4	ВКП(б):1 | ГУГБ:1 | ИККИ:1 | НКВД:1	security_apparatus:2 | international:1 | party_apparatus:1	4
Е.И. Перлина	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2	4
Е.М. Пружанской	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2	4
Е.М. Рыбальченко	2	ГУГБ:2 | НКВД:2	security_apparatus:4	4
Е.О. Симак	3	ГУГБ:2 | ВКП(б):1 | Совнарком:1	security_apparatus:2 | state_apparatus:1 | party_apparatus:1	4
Е.Т. Черкасовой	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | Политбюро:1	party_apparatus:2 | security_apparatus:2	4
Е.Ф. Ермолаевой	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2	4
Е.Ф. Куликовым	4	ВКП(б):1 | Политбюро:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:3 | press_media:1	4
Е.Ф. Тойво-Пешина	4	ВКП(б):1 | ГУГБ:1 | Политбюро:1 | ЦК ВКП(б):1	party_apparatus:3 | security_apparatus:1	4
Е.Я. Буклея	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2	4
З.В. Флоровой	2	ВКП(б):2 | ГУГБ:2	security_apparatus:2 | party_apparatus:2	4
И.А. Данилова	4	ВКП(б):1 | ГУГБ:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:2 | press_media:1 | security_apparatus:1	4
И.В. Больших	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ЦИК СССР:1	security_apparatus:2 | state_apparatus:1 | party_apparatus:1	4
И.В. Вардин-Мгеладзе	4	ВКП(б):1 | ГУГБ:1 | Коминтерн:1 | Правда:1	international:1 | press_media:1 | security_apparatus:1 | party_apparatus:1	4
И.Е. Коваленко	2	ГУГБ:2 | НКВД:2	security_apparatus:4	4
И.З. Станкина	4	ВКП(б):1 | ГУГБ:1 | Политбюро:1 | ЦК ВКП(б):1	party_apparatus:3 | security_apparatus:1	4
И.И. Носкова	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | Правда:1	security_apparatus:2 | press_media:1 | party_apparatus:1	4
И.М. Кедрова	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2	4
И.М. Русанова	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ОО ГУГБ НКВД:1	security_apparatus:3 | party_apparatus:1	4
И.Н. Миронова	4	ВКП(б):1 | ГУГБ:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:2 | press_media:1 | security_apparatus:1	4
И.П. Лукьянова	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2	4
И.С. Михайлова	3	ВКП(б):2 | ГУГБ:1 | НКВД:1	party_apparatus:2 | security_apparatus:2	4
К.А. Оганесова	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2	4
К.А. Озола	2	ВКП(б):2 | ГУГБ:2	security_apparatus:2 | party_apparatus:2	4
К.В. Генераловой	4	ВКП(б):1 | НКВД:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:2 | press_media:1 | security_apparatus:1	4
К.В. Трофимова	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2	4
К.М. Петухова	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | Политбюро:1	party_apparatus:2 | security_apparatus:2	4
К.Н. Афонина	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2	4
Л.А. Лаврентьева	2	ГУГБ:3 | ВКП(б):1	security_apparatus:3 | party_apparatus:1	4
Л.А. Чернозубовой	3	ГУГБ:2 | ВКП(б):1 | НКВД:1	security_apparatus:3 | party_apparatus:1	4
Л.Г. Миронова	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2	4
Л.И. Сосицким	2	ГУГБ:2 | НКВД:2	security_apparatus:4	4
Л.М. Островской	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2	4
Л.Я. Нехамкина	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2	4
М.А. Житкова	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | Правда:1	security_apparatus:2 | press_media:1 | party_apparatus:1	4
М.А. Розенцвейга	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2	4
М.Д. Кочетовой	4	ВКП(б):1 | ГУГБ:1 | ИНО ГУГБ:1 | Правда:1	security_apparatus:2 | press_media:1 | party_apparatus:1	4
М.И. Рябининой	4	ВКП(б):1 | ГУГБ:1 | ИНО ГУГБ:1 | НКВД:1	security_apparatus:3 | party_apparatus:1	4
М.М. Оскольский-Финкельштейн	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2	4
М.Н. Дьячкова	4	ВКП(б):1 | ГУГБ:1 | Политбюро:1 | ЦК ВКП(б):1	party_apparatus:3 | security_apparatus:1	4
М.Н. Уфимцевой	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2	4
М.П. Давыдова	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2	4
М.С. Жалыбина-Быкова	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2	4
Н.А. Бобылева	4	ВКП(б):1 | ГУГБ:1 | Политбюро:1 | ЦК ВКП(б):1	party_apparatus:3 | security_apparatus:1	4
Н.Г. Ольховского	4	ВКП(б):1 | ГУГБ:1 | Политбюро:1 | ЦК ВКП(б):1	party_apparatus:3 | security_apparatus:1	4
Н.И. Медникова	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2	4
Н.К. Буянского	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2	4
Н.М. Букалова	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2	4
Н.Н. Крестинского	4	ВКП(б):1 | Политбюро:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:3 | press_media:1	4
Н.Н. Соина	4	ВКП(б):1 | НКВД:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:2 | press_media:1 | security_apparatus:1	4
Н.П. Гаврилова	4	ВКП(б):1 | ГУГБ:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:2 | press_media:1 | security_apparatus:1	4
П.И. Шабалкина	4	ВКП(б):1 | ГУГБ:1 | Политбюро:1 | ЦК ВКП(б):1	party_apparatus:3 | security_apparatus:1	4
П.М. Репникова	3	ГУГБ:2 | ВКП(б):1 | Политбюро:1	security_apparatus:2 | party_apparatus:2	4
П.Н. Кашина	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2	4
П.Н. Рокоса	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2	4
Р.А. Петерсона	2	ВКП(б):2 | ЦК ВКП(б):2	party_apparatus:4	4
Р.П. Катаняна	4	ВКП(б):1 | НКВД:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:2 | press_media:1 | security_apparatus:1	4
С.В. Мрачковском	4	ВКП(б):1 | НКВД:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:2 | press_media:1 | security_apparatus:1	4
С.В. Носова	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2	4
С.Н. Бограчева	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ОО ГУГБ НКВД:1	security_apparatus:3 | party_apparatus:1	4
С.Н. Бограчевым	4	ГУГБ:1 | НКВД:1 | ОО ГУГБ НКВД:1 | ЦИК СССР:1	security_apparatus:3 | state_apparatus:1	4
С.Н. Цыбульника	4	ВКП(б):1 | НКВД:1 | ЦИК СССР:1 | ЦК ВКП(б):1	party_apparatus:2 | state_apparatus:1 | security_apparatus:1	4
С.О. Акопьяна	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2	4
С.П. Терихова	4	ВКП(б):1 | НКИД:1 | ЦИК СССР:1 | ЦК ВКП(б):1	state_apparatus:2 | party_apparatus:2	4
С.Т. Узданского	4	ВКП(б):1 | ГУГБ:1 | ИНО ГУГБ:1 | НКВД:1	security_apparatus:3 | party_apparatus:1	4
С.Ф. Васильченко	4	ВКП(б):1 | ГУГБ:1 | Коминтерн:1 | ЦК ВКП(б):1	party_apparatus:2 | international:1 | security_apparatus:1	4
Ф.А. Ксенофонтова	4	ВКП(б):1 | Политбюро:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:3 | press_media:1	4
Ф.В. Кипарисова	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2	4
Ф.В. Яблонской	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2	4
Ф.И. Вайсберга	4	ВКП(б):1 | ГУГБ:1 | Совнарком:1 | ЦК ВКП(б):1	party_apparatus:2 | state_apparatus:1 | security_apparatus:1	4
Ф.Ф. Иоэльсон	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2	4
Э.Г. Лейкина	4	ВКП(б):1 | Известия:1 | Коминтерн:1 | ЦК ВКП(б):1	party_apparatus:2 | press_media:1 | international:1	4
Э.З. Гольденберга	4	ВКП(б):1 | ИККИ:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:2 | international:1 | press_media:1	4
Э.Н. Адунской	4	ВКП(б):1 | НКВД:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:2 | press_media:1 | security_apparatus:1	4
Ю.И. Дуката	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2	4
Я.А. Лившицем	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2	4
Я.К. Яглома	4	ВКП(б):1 | ГУГБ:1 | Коминтерн:1 | ЦК ВКП(б):1	party_apparatus:2 | international:1 | security_apparatus:1	4
Я.П. Гальперина	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | Правда:1	security_apparatus:2 | press_media:1 | party_apparatus:1	4
Я.С. Розановым	3	ГУГБ:2 | ВКП(б):1 | НКВД:1	security_apparatus:3 | party_apparatus:1	4
Я.Ф. Городецкого	4	ВКП(б):1 | ГУГБ:1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:2	4
Я.Ю. Харита	4	ВКП(б):1 | ГУГБ:1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:2 | press_media:1 | security_apparatus:1	4
А.А. Жданову	3	ВКП(б):1 | Известия:1 | НКВД:1	press_media:1 | security_apparatus:1 | party_apparatus:1	3
А.А. Лаврентьева	2	ГУГБ:2 | НКВД:1	security_apparatus:3	3
А.А. Нелидовой	3	ВКП(б):1 | ГУГБ:1 | НКВД:1	security_apparatus:2 | party_apparatus:1	3
А.В. Перимова	3	ВКП(б):1 | ГУГБ:1 | Коминтерн:1	international:1 | security_apparatus:1 | party_apparatus:1	3
А.Г. Шляпникова	3	ВКП(б):1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:2 | press_media:1	3
А.З. Волкова	3	ВКП(б):1 | ГУГБ:1 | НКВД:1	security_apparatus:2 | party_apparatus:1	3
А.И. Витковского	3	ВКП(б):1 | ГУГБ:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:1	3
А.И. Зильбермана	3	ВКП(б):1 | Политбюро:1 | Правда:1	party_apparatus:2 | press_media:1	3
А.И. Никитинской	3	ВКП(б):1 | ГУГБ:1 | ЦИК СССР:1	state_apparatus:1 | security_apparatus:1 | party_apparatus:1	3
А.И. Стецкого	3	Известия:1 | Политбюро:1 | Правда:1	press_media:2 | party_apparatus:1	3
А.К. Язовских	3	ВКП(б):1 | ГУГБ:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:1	3
А.Л. Голоступеца	3	ГУГБ:1 | Секретариат ЦИК СССР:1 | ЦИК СССР:1	state_apparatus:2 | security_apparatus:1	3
А.М. Луцука	3	ВКП(б):1 | ГУГБ:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:1	3
А.М. Попова	3	ВКП(б):1 | ГУГБ:1 | НКВД:1	security_apparatus:2 | party_apparatus:1	3
А.П. Удалова	3	ГУГБ:1 | НКВД:1 | ОО ГУГБ НКВД:1	security_apparatus:3	3
А.С. Куклиным	2	ГУГБ:2 | Совнарком:1	security_apparatus:2 | state_apparatus:1	3
А.Ф. Кошелева	3	ВКП(б):1 | ГУГБ:1 | НКВД:1	security_apparatus:2 | party_apparatus:1	3
А.Ю. Айхенвальда	2	ВКП(б):2 | ИККИ:1	party_apparatus:2 | international:1	3
А.Я. Аросеве	3	ВКП(б):1 | НКВД:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:1	3
Б.А. Двинскому	3	ВКП(б):1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:2 | press_media:1	3
Б.Г. Мдивани	3	ВКП(б):1 | ГУГБ:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:1	3
Б.И. Лехтмана	2	Совнарком:2 | НКВД:1	state_apparatus:2 | security_apparatus:1	3
Б.Л. Лопатинского	3	ВКП(б):1 | ГУГБ:1 | Правда:1	press_media:1 | security_apparatus:1 | party_apparatus:1	3
Б.М. Нижника	2	ВКП(б):2 | НКВД:1	party_apparatus:2 | security_apparatus:1	3
Б.О. Норкина	3	ВКП(б):1 | ГУГБ:1 | ЦК ВКП(б):1	party_apparatus:2 | security_apparatus:1	3
Б.Э. Раткая	3	ВКП(б):1 | ГУГБ:1 | НКВД:1	security_apparatus:2 | party_apparatus:1	3
В.А. Ваганяна	3	ВКП(б):1 | Политбюро:1 | ЦК ВКП(б):1	party_apparatus:3	3
В.В. Глухенко	2	НКВД:2 | Правда:1	security_apparatus:2 | press_media:1	3
В.В. Румянцнева	3	ВКП(б):1 | ГУГБ:1 | НКВД:1	security_apparatus:2 | party_apparatus:1	3
В.Е. Цесарского	3	ВКП(б):1 | КПК:1 | Политбюро:1	party_apparatus:3	3
В.И. Клюшенкова	3	ВКП(б):1 | ГУГБ:1 | НКВД:1	security_apparatus:2 | party_apparatus:1	3
В.К. Клейна	3	ГУГБ:1 | НКВД:1 | ОО ГУГБ НКВД:1	security_apparatus:3	3
В.М. Меерсона	3	ВКП(б):1 | Правда:1 | ЦК ВКП(б):1	party_apparatus:2 | press_media:1	3
В.Я. Родака	3	ВКП(б):1 | ГУГБ:1 | Правда:1	press_media:1 | security_apparatus:1 | party_apparatus:1	3
Г.А. Абрамова	3	ВКП(б):1 | ГУГБ:1 | НКВД:1	security_apparatus:2 | party_apparatus:1	3
Г.В. Соколовым	2	ГУГБ:2 | НКВД:1	security_apparatus:3	3
