canonical_person_a	canonical_person_b	document_count
Биткера	Ежов	1
Биткера	Сталин	1
Довганя	Ежов	1
Довганя	Сталин	1
Буянского	Ежов	1
Буянского	Сталин	1
Ежов	Сумецкого	1
Сталин	Сумецкого	1
Жданову	Заковского	1
Заковского	Лукницкого	1
Жданову	Лукницкого	1
Афанасьева	Сталин	1
Ежов	Королева	1
Королева	Сталин	1
Ежов	Чередниченко	1
Сталин	Чередниченко	1
Ежов	Цетлина	1
Дьячкова	Ежов	1
Дьячкова	Сталин	1
Ежов	Эйдмана	1
Сталин	Эйдмана	1
Афонина	Ежов	1
Афонина	Сталин	1
Ежов	Трубиева	1
Сталин	Трубиева	1
Ежов	Строилова	1
Сталин	Строилова	1
Ежов	Норкина	1
Норкина	Сталин	1
Бухарин	Пятаков	1
Бухарин	Сосновским	1
Бухарин	Куликовым	1
Князева	Молотов	1
Сталин	Тивеля	1
Князева	Сталин	1
Андрееву	Саркисова	1
Гасвиани	Саркисова	1
Андрееву	Гасвиани	1
Князева	Чистову	1
Ежов	Никогда	1
Никогда	Сталин	1
Ежов	Захариной	1
Захариной	Сталин	1
Ежов	Келдыша	1
Келдыша	Сталин	1
Арсентьева	Ежов	1
Арсентьева	Сталин	1
Ежов	Шермергорна	1
Дрожжина	Ежов	1
Дрожжина	Сталин	1
Асилова	Ежов	1
Асилова	Сталин	1
Дзедзиевского	Ежов	1
Дзедзиевского	Сталин	1
Граше	Ежов	1
Граше	Сталин	1
Городецкого	Ежов	1
Городецкого	Сталин	1
Ежов	Сосновского	1
Ежов	Меерсона	1
Меерсона	Сталин	1
Ежов	Шаева	1
Сталин	Шаева	1
Богачева	Ежов	1
Богачева	Сталин	1
Ежов	Ельковича	1
Ельковича	Сталин	1
Ежов	Сычева	1
Сталин	Сычева	1
Каганович	Хвыли	1
Ежов	Хвыли	1
Брик	Ежов	1
Брик	Примакова	1
Глебовой	Ежов	1
Давыдова	Ежов	1
Давыдова	Сталин	1
Бурлакова	Ежов	1
Бурлакова	Сталин	1
Ежов	Шацкина	1
Вышинский	Шацкина	1
Ежов	Кудряшева	1
Кудряшева	Сталин	1
Ежов	Кипарисова	1
Кипарисова	Сталин	1
Дробниса	Ежов	1
Дробниса	Сталин	1
Ежов	Уфимцевой	1
Сталин	Уфимцевой	1
Ежов	Метальникова	1
Метальникова	Сталин	1
Ежов	Пружанской	1
Пружанской	Сталин	1
Ежов	Островского	1
Островского	Сталин	1
Ежов	Ольховского	1
Ольховского	Сталин	1
Барулина	Ежов	1
Барулина	Сталин	1
Голованова	Ежов	1
Голованова	Сталин	1
Ежов	Иоэльсон	1
Иоэльсон	Сталин	1
Витковского	Ежов	1
Витковского	Сталин	1
Примакова	Сталин	1
Сталин	Юлина	1
Ежов	Логиновым	1
Ежов	Ратайчака	1
Логиновым	Сталин	1
Ратайчака	Сталин	1
Логиновым	Ратайчаком	1
Ратайчака	Ратайчаком	1
Логиновым	Ратайчака	1
Ежов	Шестова	1
Гальперина	Ежов	1
Гальперина	Сталин	1
Радомысльского	Сталин	1
