current_path	proposed_path	status	notes
showtrials_document_types_v2_validation_report.txt	reports/c-catalog-taxonomy/showtrials_document_types_v2_validation_report.txt	moved	moved by pathlib.Path.rename
showtrials_document_types_v3.tsv	data/c-catalog-taxonomy/showtrials_document_types_v3.tsv	moved	moved by pathlib.Path.rename
showtrials_document_types_v3_report.txt	reports/c-catalog-taxonomy/showtrials_document_types_v3_report.txt	moved	moved by pathlib.Path.rename
showtrials_document_types_v3_validation.tsv	data/c-catalog-taxonomy/showtrials_document_types_v3_validation.tsv	moved	moved by pathlib.Path.rename
showtrials_document_types_v3_validation_report.txt	reports/c-catalog-taxonomy/showtrials_document_types_v3_validation_report.txt	moved	moved by pathlib.Path.rename
showtrials_document_types_v4.tsv	data/c-catalog-taxonomy/showtrials_document_types_v4.tsv	moved	moved by pathlib.Path.rename
showtrials_document_types_v4_report.txt	reports/c-catalog-taxonomy/showtrials_document_types_v4_report.txt	moved	moved by pathlib.Path.rename
showtrials_document_types_v4_validation.tsv	data/c-catalog-taxonomy/showtrials_document_types_v4_validation.tsv	moved	moved by pathlib.Path.rename
showtrials_document_types_v4_validation_report.txt	reports/c-catalog-taxonomy/showtrials_document_types_v4_validation_report.txt	moved	moved by pathlib.Path.rename
showtrials_entities_categories.tsv	data/e-semantic-layer/showtrials_entities_categories.tsv	moved	moved by pathlib.Path.rename
showtrials_entities_collections.tsv	data/e-semantic-layer/showtrials_entities_collections.tsv	moved	moved by pathlib.Path.rename
showtrials_entities_processes.tsv	data/e-semantic-layer/showtrials_entities_processes.tsv	moved	moved by pathlib.Path.rename
showtrials_entities_tags.tsv	data/e-semantic-layer/showtrials_entities_tags.tsv	moved	moved by pathlib.Path.rename
showtrials_entity_anomalies_report.txt	reports/e-semantic-layer/showtrials_entity_anomalies_report.txt	moved	moved by pathlib.Path.rename
showtrials_entity_candidates.tsv	data/e-semantic-layer/showtrials_entity_candidates.tsv	moved	moved by pathlib.Path.rename
showtrials_entity_cleanup_report.txt	reports/e-semantic-layer/showtrials_entity_cleanup_report.txt	moved	moved by pathlib.Path.rename
showtrials_entity_inventory_report.txt	reports/e-semantic-layer/showtrials_entity_inventory_report.txt	moved	moved by pathlib.Path.rename
showtrials_family_process_matrix.tsv	data/e-semantic-layer/showtrials_family_process_matrix.tsv	moved	moved by pathlib.Path.rename
showtrials_family_process_profiles.tsv	data/e-semantic-layer/showtrials_family_process_profiles.tsv	moved	moved by pathlib.Path.rename
showtrials_google_translate_glossary_ru_en_v1.tsv	data/g-glossary/showtrials_google_translate_glossary_ru_en_v1.tsv	moved	moved by pathlib.Path.rename
showtrials_known_truncated_aliases_report.txt	reports/e-semantic-layer/showtrials_known_truncated_aliases_report.txt	moved	moved by pathlib.Path.rename
showtrials_largest_documents.tsv	data/c-catalog-taxonomy/showtrials_largest_documents.tsv	moved	moved by pathlib.Path.rename
showtrials_literal_people.tsv	data/e-semantic-layer/showtrials_literal_people.tsv	moved	moved by pathlib.Path.rename
showtrials_literal_people_report.txt	reports/e-semantic-layer/showtrials_literal_people_report.txt	moved	moved by pathlib.Path.rename
showtrials_literal_person_documents.tsv	data/e-semantic-layer/showtrials_literal_person_documents.tsv	moved	moved by pathlib.Path.rename
showtrials_literal_person_pairs.tsv	data/e-semantic-layer/showtrials_literal_person_pairs.tsv	moved	moved by pathlib.Path.rename
showtrials_master_catalog.tsv	data/c-catalog-taxonomy/showtrials_master_catalog.tsv	moved	moved by pathlib.Path.rename
showtrials_master_catalog_report.txt	reports/c-catalog-taxonomy/showtrials_master_catalog_report.txt	moved	moved by pathlib.Path.rename
showtrials_organization_documents.tsv	data/e-semantic-layer/showtrials_organization_documents.tsv	moved	moved by pathlib.Path.rename
showtrials_organization_families.tsv	data/e-semantic-layer/showtrials_organization_families.tsv	moved	moved by pathlib.Path.rename
showtrials_organization_families_report.txt	reports/e-semantic-layer/showtrials_organization_families_report.txt	moved	moved by pathlib.Path.rename
showtrials_organization_families_validation_report.txt	reports/e-semantic-layer/showtrials_organization_families_validation_report.txt	moved	moved by pathlib.Path.rename
showtrials_organization_family_crosspairs.tsv	data/e-semantic-layer/showtrials_organization_family_crosspairs.tsv	moved	moved by pathlib.Path.rename
showtrials_organization_family_document_matrix.tsv	data/e-semantic-layer/showtrials_organization_family_document_matrix.tsv	moved	moved by pathlib.Path.rename
showtrials_organization_family_document_matrix_report.txt	reports/e-semantic-layer/showtrials_organization_family_document_matrix_report.txt	moved	moved by pathlib.Path.rename
showtrials_organization_family_document_summary.tsv	data/e-semantic-layer/showtrials_organization_family_document_summary.tsv	moved	moved by pathlib.Path.rename
showtrials_organization_hierarchy.tsv	data/e-semantic-layer/showtrials_organization_hierarchy.tsv	moved	moved by pathlib.Path.rename
showtrials_organization_hierarchy_report.txt	reports/e-semantic-layer/showtrials_organization_hierarchy_report.txt	moved	moved by pathlib.Path.rename
