document_type	sample_no	document_post_id	content_chars	content_words	primary_process	document_title	sample_path	document_url
session_transcript	5	2644	298447	45514	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ЗАСЕДАНИЕ 15 ЯНВАРЯ 1935 г.	/srv/projects/showtrials-discovery/structural_samples_d2_1/session_transcript/05_2644_15_1935_..txt	http://showtrials.ru/zasedanie-15-yanvarya-1935-g/
session_transcript	6	2618	262901	39450	ПРОЦЕСС “ЛЕНИНГРАДСКОГО ЦЕНТРА”	ЗАСЕДАНИЕ 28 ДЕКАБРЯ 1934 Г.	/srv/projects/showtrials-discovery/structural_samples_d2_1/session_transcript/06_2618_28_1934_..txt	http://showtrials.ru/zasedanie-voennogo-tribunala-verhovnogo-suda-sssr-28-dekabrya-1934-g/
session_transcript	7	2645	217431	33569	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	ЗАСЕДАНИЕ 16 ЯНВАРЯ 1935 г.	/srv/projects/showtrials-discovery/structural_samples_d2_1/session_transcript/07_2645_16_1935_..txt	http://showtrials.ru/zasedanie-16-yanvarya-1935-g/
session_transcript	8	2539	203751	28808	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	28 ЯНВАРЯ – ДНЕВНОЕ И ВЕЧЕРНЕЕ ЗАСЕДАНИЯ	/srv/projects/showtrials-discovery/structural_samples_d2_1/session_transcript/08_2539_28.txt	http://showtrials.ru/28-yanvarya-dnevnoe-i-vechernee-zasedaniya/
letter	1	4801	264	45	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	Письмо жены А.С. Куклина А.Н. Поскребышеву	/srv/projects/showtrials-discovery/structural_samples_d2_1/letter/01_4801_._._._..txt	http://showtrials.ru/pismo-zheny-a-s-kuklina-a-n-poskrebyshevu/
letter	2	3400	1397	213	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	Письмо Г.Я. Сокольникова И.В. Сталину с объяснениями по поводу показаний И.К. Наумова	/srv/projects/showtrials-discovery/structural_samples_d2_1/letter/02_3400_._._._._._..txt	http://showtrials.ru/pismo-g-ya-sokolnikova-i-v-stalinu-s-obyasneniyami-po-povodu-pokazanij-i-k-naumova/
letter	3	9143	2896	437	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	Л.Л. Седов – В.П. Ольбергу	/srv/projects/showtrials-discovery/structural_samples_d2_1/letter/03_9143_._._._..txt	http://showtrials.ru/pismo-l-l-sedova-v-p-olbergu-17/
letter	4	10828	6721	1001	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	Письмо В.П. Ольберга в правление немецкой объединенной левой оппозиции	/srv/projects/showtrials-discovery/structural_samples_d2_1/letter/04_10828_._..txt	http://showtrials.ru/pismo-v-p-olberga-v-pravlenie-nemeczkoj-obedinennoj-levoj-oppoziczii/
letter	5	5779	58553	9013	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	Письмо А.Л. Леонтьева секретарю ЦК ВКП(б) и Председателю КПК при ЦК ВКП(б) Н.И. Ежову с приложением справки СПО ГУГБ НКВД СССР	/srv/projects/showtrials-discovery/structural_samples_d2_1/letter/05_5779_._._._..txt	http://showtrials.ru/pismo-a-l-leonteva-sekretaryu-czk-vkpb-i-predsedatelyu-kpk-pri-czk-vkpb-n-i-ezhovu-s-prilozheniem-spravki-spo-gugb-nkvd-sssr/
letter	6	5723	51694	7110	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	Закрытое письмо ЦК ВКП(б) от 29 июля 1936 г.	/srv/projects/showtrials-discovery/structural_samples_d2_1/letter/06_5723_29_1936_..txt	http://showtrials.ru/zakrytoe-pismo-czk-vkpb-ot-29-iyulya-1936-g/
letter	7	10713	46577	6846	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	Der Fall Valentin Olberg – неопубликованное открытое письмо К. Ландау П.К. Ольбергу о деле его сына	/srv/projects/showtrials-discovery/structural_samples_d2_1/letter/07_10713_Der_Fall_Valentin_Olberg_._._..txt	http://showtrials.ru/der-fall-valentin-olberg-neopublikovannoe-otkrytoe-pismo-k-landau-p-k-olbergu-o-dele-ego-syna/
letter	8	5766	35804	4712	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	Закрытое письмо МК и МГК ВКП(б) о вскрытых фактах террористической деятельности контрреволюционного троцкистско-зиновьевского блока в. г. Москве и Московской области	/srv/projects/showtrials-discovery/structural_samples_d2_1/letter/08_5766_-_._..txt	http://showtrials.ru/zakrytoe-pismo-mk-i-mgk-vkpb-o-vskrytyh-faktah-terroristicheskoj-deyatelnosti-kontrrevolyuczionnogo-troczkistsko-zinovevskogo-bloka-v-g-moskve-i-moskovskoj-oblasti/
statement	1	5686	836	137	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Заявление Д.А. Шмидта И.В. Сталину	/srv/projects/showtrials-discovery/structural_samples_d2_1/statement/01_5686_._._._..txt	http://showtrials.ru/zayavlenie-d-a-shmidta-i-v-stalinu/
statement	2	4547	2539	382	ПРОЦЕСС “МОСКОВСКОГО ЦЕНТРА”	Заявление Я.Р. Ельковича Я.С. Агранову и Административной комиссии НКВД	/srv/projects/showtrials-discovery/structural_samples_d2_1/statement/02_4547_._._._..txt	http://showtrials.ru/zayavlenie-ya-r-elkovicha-ya-s-agranovu-i-administrativnoj-komissii-nkvd/
statement	3	8253	5224	861	ПРОЦЕСС 2-12 МАРТА 1938 г.	Заявление Е.В. Цетлина в ЦК ВКП(б) И.В. Сталину	/srv/projects/showtrials-discovery/structural_samples_d2_1/statement/03_8253_._._._..txt	http://showtrials.ru/8253-2/
statement	4	11077	10417	1373	ПРОЦЕСС 19-23 АВГУСТА 1936 г.	Заявление Е.А. Преображенского, К.Б. Радека и И.Т. Смилги о разрыве с оппозицией	/srv/projects/showtrials-discovery/structural_samples_d2_1/statement/04_11077_._._._._._..txt	http://showtrials.ru/zayavlenie-e-a-preobrazhenskogo-k-b-radeka-i-i-t-smilgi-o-razryve-s-oppozicziej/
statement	5	5855	195887	28468	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Заявление П.Ф. Сапожникова о деятельности организации правых	/srv/projects/showtrials-discovery/structural_samples_d2_1/statement/05_5855_._..txt	http://showtrials.ru/zayavlenie-p-f-sapozhnikova-o-deyatelnosti-organizaczii-pravyh/
statement	6	8690	152954	23811	ПРОЦЕСС 2-12 МАРТА 1938 г.	Заявление Н.И. Бухарина членам Пленума ЦК ВКП(б)	/srv/projects/showtrials-discovery/structural_samples_d2_1/statement/06_8690_._..txt	http://showtrials.ru/zayavlenie-n-i-buharina-chlenam-plenuma-czk-vkpb/
statement	7	5917	50157	7379	ПРОЦЕСС 23-29 ЯНВАРЯ 1937 г.	Заявление Ю.Л. Пятакова Народному комиссару внутренних дел СССР Н.И. Ежову	/srv/projects/showtrials-discovery/structural_samples_d2_1/statement/07_5917_._._._..txt	http://showtrials.ru/zayavlenie-yu-l-pyatakova-narodnomu-komissaru-vnutrennih-del-sssr-n-i-ezhovu/
statement	8	7665	41282	6062	ПРОЦЕСС 2-12 МАРТА 1938 г.	Заявление В.В. Шмидта И.В. Сталину и Н.И. Ежову	/srv/projects/showtrials-discovery/structural_samples_d2_1/statement/08_7665_._._._._._..txt	http://showtrials.ru/zayavlenie-v-v-shmidta-i-v-stalinu-i-n-i-ezhovu/
conversation_recording	1	8440	1766	317	ПРОЦЕСС 2-12 МАРТА 1938 г.	Запись разговоров по объекту “В-87”	/srv/projects/showtrials-discovery/structural_samples_d2_1/conversation_recording/01_8440_-87.txt	http://showtrials.ru/zapis-razgovorov-po-obektu-v-87-30/
conversation_recording	2	8355	5405	933	ПРОЦЕСС 2-12 МАРТА 1938 г.	Запись разговоров по объекту “В-87”	/srv/projects/showtrials-discovery/structural_samples_d2_1/conversation_recording/02_8355_-87.txt	http://showtrials.ru/zapis-razgovorov-po-obektu-v-87-6/
conversation_recording	3	8442	7694	1297	ПРОЦЕСС 2-12 МАРТА 1938 г.	Запись разговоров по объекту “В-87”	/srv/projects/showtrials-discovery/structural_samples_d2_1/conversation_recording/03_8442_-87.txt	http://showtrials.ru/zapis-razgovorov-po-obektu-v-87-31/
conversation_recording	4	8420	13626	2293	ПРОЦЕСС 2-12 МАРТА 1938 г.	Запись разговоров по объекту “В-87”	/srv/projects/showtrials-discovery/structural_samples_d2_1/conversation_recording/04_8420_-87.txt	http://showtrials.ru/zapis-razgovorov-po-obektu-v-87-20/
conversation_recording	5	8430	48430	8099	ПРОЦЕСС 2-12 МАРТА 1938 г.	Запись разговоров по объекту “В-87”	/srv/projects/showtrials-discovery/structural_samples_d2_1/conversation_recording/05_8430_-87.txt	http://showtrials.ru/zapis-razgovorov-po-obektu-v-87-25/
conversation_recording	6	8422	31525	5247	ПРОЦЕСС 2-12 МАРТА 1938 г.	Запись разговоров по объекту “В-87”	/srv/projects/showtrials-discovery/structural_samples_d2_1/conversation_recording/06_8422_-87.txt	http://showtrials.ru/zapis-razgovorov-po-obektu-v-87-21/
conversation_recording	7	8424	20069	3382	ПРОЦЕСС 2-12 МАРТА 1938 г.	Запись разговоров по объекту “В-87”	/srv/projects/showtrials-discovery/structural_samples_d2_1/conversation_recording/07_8424_-87.txt	http://showtrials.ru/zapis-razgovorov-po-obektu-v-87-22/
conversation_recording	8	8407	19560	3313	ПРОЦЕСС 2-12 МАРТА 1938 г.	Запись разговоров по объекту “В-87”	/srv/projects/showtrials-discovery/structural_samples_d2_1/conversation_recording/08_8407_-87.txt	http://showtrials.ru/zapis-razgovorov-po-obektu-v-87-16/
