item_id	href	resolved_url	label	is_html	is_external	source_class	target_path
P2004-0072	documents/Great_Terror/Number_of_Condemned_by_Special_Commission.doc	http://perpetrator2004.narod.ru/documents/Great_Terror/Number_of_Condemned_by_Special_Commission.doc	Докладная записка С. Н. Круглова и Р. А. Руденко Н. С. Хрущеву о пересмотре дел осужденных особым совещанием при НКВД- МГБ СССР	no	no	internal	data/perpetrator2004/raw/mirror/documents/Great_Terror/Number_of_Condemned_by_Special_Commission.doc
P2004-0073	documents/Leningrad_Affair/Rudenko_Speech_Leningrad.doc	http://perpetrator2004.narod.ru/documents/Leningrad_Affair/Rudenko_Speech_Leningrad.doc	Правленая стенограмма выступления Р. А. Руденко	no	no	internal	data/perpetrator2004/raw/mirror/documents/Leningrad_Affair/Rudenko_Speech_Leningrad.doc
P2004-0074	documents/Leningrad_Affair/Khrushchev_Speech_Leningrad.doc	http://perpetrator2004.narod.ru/documents/Leningrad_Affair/Khrushchev_Speech_Leningrad.doc	Из неправленой стенограммы выступления Н.С. Хрущева	no	no	internal	data/perpetrator2004/raw/mirror/documents/Leningrad_Affair/Khrushchev_Speech_Leningrad.doc
P2004-0075	documents/Great_Terror/Pospelov_Commission_Report.doc	http://perpetrator2004.narod.ru/documents/Great_Terror/Pospelov_Commission_Report.doc	Доклад комиссии Поспелова	no	no	internal	data/perpetrator2004/raw/mirror/documents/Great_Terror/Pospelov_Commission_Report.doc
P2004-0076	documents/Show_Trials/CPSU_Classified_Letter_on_Trotskyite_Zinovievite_Bloc.doc	http://perpetrator2004.narod.ru/documents/Show_Trials/CPSU_Classified_Letter_on_Trotskyite_Zinovievite_Bloc.doc	Закрытое письмо ЦК ВКП(б) о террористической деятельности троцкистско-зиновьевского контрреволюционного блока	no	no	internal	data/perpetrator2004/raw/mirror/documents/Show_Trials/CPSU_Classified_Letter_on_Trotskyite_Zinovievite_Bloc.doc
P2004-0077	documents/kirov/Kotolynov_Interrogation_Record_12_Dec.doc	http://perpetrator2004.narod.ru/documents/kirov/Kotolynov_Interrogation_Record_12_Dec.doc	Протокол допроса И.И. Котолынова от 12 декабря 1934 г.	no	no	internal	data/perpetrator2004/raw/mirror/documents/kirov/Kotolynov_Interrogation_Record_12_Dec.doc
P2004-0078	documents/kirov/Nikolayev_Interrogation_Record_13_Dec.doc	http://perpetrator2004.narod.ru/documents/kirov/Nikolayev_Interrogation_Record_13_Dec.doc	Протокол допроса Л. Николаева от 13 декабря 1934 г.	no	no	internal	data/perpetrator2004/raw/mirror/documents/kirov/Nikolayev_Interrogation_Record_13_Dec.doc
P2004-0079	documents/kirov/Draft_Circular_Letter.doc	http://perpetrator2004.narod.ru/documents/kirov/Draft_Circular_Letter.doc	Из циркулярного письма НКВД СССР всем местным органам наркомата внутренних дел СССР	no	no	internal	data/perpetrator2004/raw/mirror/documents/kirov/Draft_Circular_Letter.doc
P2004-0080	documents/Tukhachevsky/Plan_for_Defeat.doc	http://perpetrator2004.narod.ru/documents/Tukhachevsky/Plan_for_Defeat.doc	План поражения СССР	no	no	internal	data/perpetrator2004/raw/mirror/documents/Tukhachevsky/Plan_for_Defeat.doc
P2004-0081	documents/Great_Terror/Lead_Up_To_Terror.doc	http://perpetrator2004.narod.ru/documents/Great_Terror/Lead_Up_To_Terror.doc	Подготовка к Большому террору	no	no	internal	data/perpetrator2004/raw/mirror/documents/Great_Terror/Lead_Up_To_Terror.doc
P2004-0082	documents/Great_Terror/Coded_Telegram_On_Physical_Influence.doc	http://perpetrator2004.narod.ru/documents/Great_Terror/Coded_Telegram_On_Physical_Influence.doc	Шифртелеграмма от 20.01.1939	no	no	internal	data/perpetrator2004/raw/mirror/documents/Great_Terror/Coded_Telegram_On_Physical_Influence.doc
P2004-0083	documents/Great_Terror/Operative_Order_00439.doc	http://perpetrator2004.narod.ru/documents/Great_Terror/Operative_Order_00439.doc	Оперативный приказ Ежова 00439	no	no	internal	data/perpetrator2004/raw/mirror/documents/Great_Terror/Operative_Order_00439.doc
P2004-0084	documents/Great_Terror/Operative_Order_00447.doc	http://perpetrator2004.narod.ru/documents/Great_Terror/Operative_Order_00447.doc	Оперативный приказ Ежова 00447 о репрессировании бывших кулаков, уголовников и др. антисоветских элементов	no	no	internal	data/perpetrator2004/raw/mirror/documents/Great_Terror/Operative_Order_00447.doc
P2004-0085	documents/Great_Terror/Operative_Order_00485.doc	http://perpetrator2004.narod.ru/documents/Great_Terror/Operative_Order_00485.doc	Оперативный приказ Ежова 00485	no	no	internal	data/perpetrator2004/raw/mirror/documents/Great_Terror/Operative_Order_00485.doc
P2004-0086	documents/Great_Terror/Letter_On_POV.doc	http://perpetrator2004.narod.ru/documents/Great_Terror/Letter_On_POV.doc	Закрытого письма	no	no	internal	data/perpetrator2004/raw/mirror/documents/Great_Terror/Letter_On_POV.doc
P2004-0087	documents/Great_Terror/Politburo_Resolution_5_7_37.doc	http://perpetrator2004.narod.ru/documents/Great_Terror/Politburo_Resolution_5_7_37.doc	Решение политбюро от 5.7.1937 г.	no	no	internal	data/perpetrator2004/raw/mirror/documents/Great_Terror/Politburo_Resolution_5_7_37.doc
